TIME,AF3,F7,F3,F4,F8,AF4
569379,-735,698,864,1315,-949,450
569395,-825,636,813,1276,-951,425
569427,-906,637,828,1283,-948,422
569444,-970,648,833,1295,-952,421
569462,-1014,652,846,1294,-948,405
569477,-1056,623,824,1286,-956,398
569495,-1086,656,868,1312,-953,387
569512,-1104,653,883,1330,-951,384
569544,-1183,607,890,1371,-955,377
569561,-1263,569,858,1327,-950,366
569577,-1284,582,890,1335,-959,361
569595,-1291,632,930,1371,-954,370
569612,-1381,555,881,1308,-953,333
569628,-1400,556,876,1319,-953,329
569660,-1522,516,849,1303,-949,298
569678,-1538,515,865,1316,-961,298
569694,-1483,509,885,1330,-954,291
569711,-1650,477,820,1285,-952,299
569728,-1649,483,848,1302,-951,297
569745,-1701,486,869,1296,-947,289
569776,-1687,525,878,1332,-949,279
569794,-1698,509,910,1351,-954,281
569811,-1752,451,868,1330,-948,252
569828,-1833,448,873,1315,-950,235
569844,-1888,408,828,1296,-948,222
569861,-1896,447,870,1318,-952,214
569894,-1928,455,901,1347,-948,204
569911,-1979,420,871,1328,-954,185
569929,-1994,419,891,1350,-954,183
569944,-2013,387,880,1335,-950,168
569960,-2079,362,846,1320,-949,151
569977,-2179,325,807,1254,-959,126
570010,-2279,301,781,1268,-959,108
570027,-2277,319,816,1299,-946,100
570043,-2283,306,822,1295,-956,88
570060,-2341,280,769,1249,-952,68
570077,-2418,259,769,1257,-951,42
570093,-2415,272,786,1283,-958,33
570126,-2485,255,762,1299,-959,17
570144,-2537,241,755,1302,-961,4
570160,-2538,234,749,1282,-955,-5
570177,-2560,249,776,1292,-954,-18
570194,-2534,238,778,1307,-950,-22
570210,-2586,199,746,1286,-963,-30
570242,-2707,184,699,1254,-958,-76
570259,-2667,208,725,1285,-959,-76
570277,-2704,206,716,1278,-953,-94
570293,-2632,255,783,1345,-953,-87
570310,-2641,228,748,1329,-959,-95
570326,-2656,202,735,1338,-953,-113
570359,-2737,154,713,1307,-954,-152
570376,-2815,95,662,1263,-958,-166
570393,-2800,131,684,1276,-957,-176
570410,-2784,152,684,1291,-957,-180
570427,-2823,126,682,1298,-956,-204
570443,-2800,154,676,1300,-956,-203
570475,-2743,180,709,1322,-954,-210
570492,-2639,253,793,1386,-956,-204
570510,-2640,241,778,1388,-956,-209
570526,-2644,213,768,1347,-958,-226
570543,-2718,158,702,1305,-959,-239
570559,-2695,176,701,1286,-949,-257
570591,-2671,171,700,1306,-956,-262
570608,-2643,211,690,1323,-949,-269
570625,-2614,235,702,1332,-959,-276
570641,-2595,245,726,1343,-958,-290
570659,-2542,259,743,1358,-952,-291
570676,-2582,210,681,1310,-950,-304
570708,-2625,152,651,1300,-960,-336
570725,-2656,151,643,1275,-944,-342
570742,-2633,162,662,1282,-955,-346
570759,-2525,214,692,1312,-950,-339
570775,-2513,233,696,1327,-952,-336
570792,-2505,242,695,1346,-948,-342
570824,-2465,264,707,1355,-956,-349
570841,-2499,206,656,1299,-945,-378
570857,-2427,302,742,1370,-955,-357
570875,-2473,245,672,1314,-949,-387
570891,-2408,274,702,1353,-947,-380
570908,-2442,254,679,1326,-956,-394
570940,-2446,211,654,1306,-954,-406
570957,-2419,224,675,1346,-946,-414
570974,-2435,166,634,1289,-959,-426
570992,-2436,172,664,1334,-946,-443
571008,-2397,195,646,1316,-960,-426
571024,-2296,276,673,1362,-949,-410
571057,-2202,290,709,1393,-957,-393
571074,-2176,265,673,1388,-948,-396
571092,-2207,213,668,1366,-948,-419
571107,-2205,239,655,1364,-946,-415
571124,-2277,175,602,1300,-952,-449
571141,-2289,184,598,1283,-952,-452
571174,-2337,147,536,1221,-946,-500
571191,-2357,149,531,1234,-950,-504
571208,-2303,168,532,1261,-941,-510
571225,-2279,165,531,1258,-950,-503
571241,-2294,135,519,1267,-950,-514
571257,-2306,142,509,1258,-949,-524
571289,-2244,187,509,1284,-949,-525
571307,-2265,131,451,1234,-953,-540
571324,-2199,162,486,1273,-946,-540
571341,-2207,161,462,1258,-947,-539
571357,-2177,150,484,1266,-945,-537
