TIME,AF3,F7,F3,F4,F8,AF4
2404035,-2047,-1257,-99,777,-627,-938
2404050,-2025,-1253,-93,777,-636,-934
2404067,-2010,-1225,-96,777,-648,-917
2404085,-2004,-1227,-107,777,-659,-935
2404117,-2027,-1197,-127,777,-665,-919
2404134,-2011,-1169,-125,777,-660,-873
2404151,-1981,-1171,-127,779,-651,-876
2404168,-1981,-1164,-127,780,-657,-877
2404185,-1974,-1138,-127,780,-658,-888
2404201,-1943,-1134,-127,779,-652,-870
2404235,-1914,-1108,-125,781,-680,-880
2404252,-1910,-1106,-121,781,-691,-910
2404269,-1898,-1103,-127,781,-686,-898
2404285,-1879,-1071,-124,781,-687,-867
2404302,-1866,-1074,-128,777,-702,-890
2404319,-1854,-1065,-100,776,-722,-866
2404350,-1833,-1039,-118,779,-703,-888
2404367,-1821,-1038,-124,779,-699,-872
2404384,-1793,-1009,-125,776,-704,-877
2404401,-1806,-1013,-124,780,-719,-869
2404417,-1790,-1002,-125,777,-716,-870
2404434,-1759,-995,-126,781,-718,-878
2404467,-1719,-973,-99,780,-747,-882
2404485,-1727,-966,-94,777,-747,-884
2404501,-1694,-947,-97,781,-744,-871
2404517,-1691,-944,-107,774,-749,-874
2404533,-1694,-934,-125,779,-756,-878
2404551,-1668,-929,-130,779,-751,-873
2404567,-1664,-907,-129,776,-749,-888
2404600,-1620,-898,-122,779,-750,-880
2404617,-1623,-901,-127,780,-778,-891
2404633,-1623,-871,-129,779,-775,-902
2404650,-1620,-873,-129,779,-771,-902
2404666,-1601,-868,-130,777,-778,-908
2404684,-1611,-871,-127,777,-808,-910
2404717,-1583,-843,-121,777,-789,-903
2404733,-1559,-840,-119,777,-778,-903
2404749,-1538,-828,-119,777,-784,-900
2404767,-1536,-814,-128,777,-782,-903
2404782,-1531,-812,-140,778,-803,-903
2404799,-1533,-809,-138,774,-800,-903
2404831,-1477,-780,-138,776,-786,-833
2404848,-1460,-774,-125,776,-815,-801
2404866,-1400,-748,-127,776,-810,-766
2404882,-1427,-753,-125,777,-790,-773
2404899,-1430,-746,-125,767,-781,-789
2404916,-1459,-734,-90,748,-753,-823
2404949,-1461,-729,-94,744,-775,-843
2404966,-1454,-726,-94,742,-786,-847
2404982,-1457,-717,-94,750,-776,-854
2404999,-1472,-722,-109,752,-785,-876
2405017,-1454,-720,-113,766,-806,-867
2405032,-1465,-715,-131,777,-815,-888
2405049,-1456,-712,-130,777,-840,-891
2405081,-1409,-693,-125,776,-813,-865
2405099,-1379,-690,-126,776,-817,-850
2405116,-1384,-687,-127,779,-812,-857
