TIME,AF3,F7,F3,F4,F8,AF4
1063794,-97,-118,285,553,-442,-337
1063828,-107,-135,272,514,-525,-354
1063845,-135,-77,237,495,-698,-332
1063862,-148,-37,228,524,-587,-245
1063879,-171,-131,227,562,-578,-236
1063896,-195,164,211,594,-584,-212
1063912,-192,10,200,638,-411,-224
1063943,-203,37,191,638,-205,-131
1063961,-202,129,196,612,-233,-170
1063978,-196,115,192,588,-307,-145
1063995,-191,47,195,558,-188,-193
1064012,-191,44,199,583,-287,-171
1064029,-207,263,191,593,-209,-239
1064061,-185,132,199,587,-194,-225
1064078,-181,96,217,587,-91,-152
1064094,-180,93,224,566,-275,-129
1064112,-173,15,224,504,-194,-197
1064128,-189,3,206,561,-110,-147
1064145,-202,107,189,541,-141,-162
1064178,-195,157,234,575,-51,-113
1064194,-184,181,201,612,-115,-105
1064211,-184,122,219,573,-105,-103
1064227,-171,196,221,575,-233,-104
1064244,-172,114,218,496,-113,-190
1064261,-192,163,201,581,-213,-133
1064293,-227,140,172,601,-97,-107
1064310,-181,141,193,555,-88,-169
1064327,-242,233,217,611,1,-4
1064344,-237,320,169,619,-22,-13
1064360,-236,345,174,653,-72,33
1064393,-175,154,241,550,-161,-136
1064426,-199,200,201,563,-162,-82
1064443,-234,310,155,573,50,-84
1064460,-268,657,64,787,498,141
1064477,-242,1655,165,1303,1080,788
1064494,-294,1350,110,931,822,171
1064510,-284,1496,130,985,920,190
1064542,-278,1430,149,966,727,146
1064560,-224,1257,190,962,665,53
1064577,-218,1214,201,958,671,60
1064593,-205,1126,225,926,613,22
1064610,-243,1257,169,961,763,51
1064627,-200,1161,214,959,599,14
1064659,-552,2051,-208,1141,1642,494
1064677,176,356,301,938,-456,-626
1064692,-227,1267,157,942,693,63
1064710,-268,1348,-100,1094,698,176
1064726,-161,1156,269,959,471,-75
1064743,-217,1310,205,976,604,-22
1064775,-194,1192,216,968,517,-19
1064793,-201,1292,213,942,541,-60
1064809,-219,1252,179,977,628,-7
1064826,-214,1307,199,973,579,-28
1064843,-221,1268,195,994,609,-2
1064859,-215,1275,190,997,563,-21
1064891,-214,1267,193,987,571,-23
1064908,-223,1265,185,1000,588,9
1064925,-226,1294,189,986,600,-13
1064943,-225,1285,177,982,609,-18
1064958,-234,1292,177,1000,584,-7
1064976,-226,1275,200,994,568,-12
1065008,-205,1254,219,1001,493,-38
1065024,-200,1234,210,1009,526,-32
1065041,-200,1238,213,1017,520,-5
1065058,-210,1249,206,1022,572,8
1065075,-237,1298,183,1040,622,29
1065092,-258,1340,158,1063,661,60
1065124,-272,1233,146,1077,780,54
1065142,-284,1264,147,1067,789,32
1065158,-309,1259,129,1098,817,67
1065175,-323,1248,114,1093,813,40
1065192,-298,1190,163,1058,685,-4
1065209,-266,1150,218,1029,612,-31
1065242,-164,905,307,960,357,-105
1065258,-66,805,345,939,195,-143
1065275,-43,902,342,983,218,-77
1065292,-78,830,294,970,129,-75
1065308,-156,642,222,807,-8,-282
1065325,-209,1341,179,1240,768,407
1065358,-264,1436,146,1208,1007,298
1065375,-256,1286,194,1113,768,109
1065391,-214,1183,217,1079,646,51
1065408,-158,1111,250,1060,518,5
1065425,-162,1107,242,1030,546,-10
1065442,-160,1036,246,1048,541,14
1065474,-169,1082,224,1045,537,26
1065491,-187,1096,208,1061,573,36
1065508,-214,1203,181,1075,645,72
1065524,-227,1171,181,1080,641,55
1065541,-215,1173,206,1078,596,46
1065558,-189,1240,217,1096,710,77
1065590,-154,151,246,477,-593,-836
1065608,-155,64,210,808,-786,-523
1065623,-216,489,177,784,-219,-201
1065640,-291,2025,43,1518,1865,709
1065657,-389,1452,-16,1133,1103,165
1065674,-416,1656,3,1301,1303,350
1065706,-314,1272,105,1122,776,37
1065723,-299,1203,113,1105,692,26
1065741,-324,1206,121,1129,704,40
1065757,-322,1234,131,1109,717,24
1065774,-258,1061,228,1041,491,-21
1065790,-137,942,288,986,264,-141
1065823,-135,988,293,1037,266,-36
1065840,-145,15,269,406,-755,-950
1065857,-185,522,196,933,-241,-83
1065873,-304,1435,75,1263,949,453
1065891,-444,2121,-11,1189,1837,691
1065906,-490,1934,-31,1418,1247,450
1065940,-3463,5175,-3389,2771,5017,3190
1065957,-98,1737,224,584,1120,-1530
1065973,-556,1942,-201,1291,871,-274
1065990,61,1178,488,1012,9,-773
1066007,-162,1362,212,1128,317,-426
1066023,-221,1373,203,1133,392,-263
1066055,-317,1468,134,1197,554,-90
1066072,-350,1522,132,1226,642,-27
1066090,-345,1534,147,1219,667,-11
1066107,-313,1554,183,1206,663,-15
1066123,-199,1354,271,1140,368,-112
1066140,-62,1038,525,989,68,-295
1066172,-76,1059,297,1085,57,-160
1066189,-142,1039,261,1094,205,-68
1066206,-186,1052,229,1105,300,-28
1066223,-203,1025,225,1117,379,-26
1066239,-181,948,248,1091,365,-51
1066256,-142,822,289,1064,256,-103
1066289,-149,814,219,1095,257,-56
1066306,-204,972,169,1158,457,77
1066322,-292,1074,135,1192,597,124
1066339,-297,1102,143,1180,595,112
1066356,-276,1057,174,1172,541,86
1066373,-264,1009,171,1181,562,79
1066405,-290,1129,126,1210,658,114
1066422,-279,1180,114,1236,685,116
1066439,-304,1209,97,1234,774,125
1066456,-353,1243,55,1272,911,161
1066472,-368,1244,43,1298,993,177
1066489,-376,1294,44,1293,995,169
1066571,-366,1395,86,1261,909,84
1066588,-338,1374,108,1240,826,56
1066605,-312,1289,138,1233,779,28
1066622,-347,1297,136,1234,744,64
1066639,-297,1311,137,1248,794,68
1066655,-280,1253,123,1252,841,113
1066672,-285,1332,61,1312,1130,208
1066704,-381,1528,-41,1395,1596,372
1066721,-452,1646,-61,1417,1779,388
1066737,-459,1720,-69,1400,1831,319
1066755,-382,1591,7,1368,1581,163
1066772,-277,1349,98,1339,1221,44
1066789,-222,1215,154,1329,1003,-29
1066821,-165,1064,209,1301,754,-20
1066838,-176,1104,183,1307,779,12
1066855,-177,1141,169,1284,774,11
1066871,-152,1083,186,1274,706,-10
1066888,-140,1045,190,1254,637,-37
1066904,-134,993,207,1245,552,-40
1066937,-134,975,230,1246,494,-15
1066955,-137,1016,203,1268,511,-10
1066971,-175,973,163,1291,544,44
1067004,-130,1002,215,1343,567,105
1067021,-57,563,278,1070,-32,-266
1067055,43,-3004,341,308,-4799,-2657
1067071,28,-1629,270,243,-2597,-624
1067088,-78,-1042,161,579,-1820,-736
1067105,-224,-1077,72,466,-1791,-494
1067121,-384,1616,48,1815,1601,1586
1067137,-315,1894,150,1670,2340,1198
1067170,-69,218,352,861,-306,-283
1067187,-51,-2700,311,-576,-4374,-2406
1067204,-53,-1279,275,307,-2254,-371
1067220,-63,-892,255,557,-1813,-354
1067238,-89,-976,215,518,-1894,-374
1067254,-155,-863,167,532,-1705,-297
1067286,-232,-659,171,579,-1491,-193
1067303,-198,-670,205,567,-1499,-204
1067319,-139,-742,255,556,-1602,-248
1067336,-30,-887,365,546,-1793,-277
1067354,-43,-874,309,520,-1743,-259
1067370,-204,-754,218,535,-1584,-174
1067402,-424,-547,155,597,-1251,-82
1067420,-21,-672,247,629,-1368,-142
1067437,163,-760,254,503,-1574,-273
1067453,-134,-807,335,407,-1788,-315
1067470,-122,-973,258,349,-2033,-398
1067486,7,-1060,216,311,-2173,-428
1067518,-180,-923,116,385,-2010,-283
1067535,-237,-821,125,412,-1857,-232
1067552,-227,-818,117,394,-1873,-251
1067570,-287,-848,117,346,-1813,-336
1067585,-369,658,161,1195,60,955
1067603,-275,738,217,1467,444,668
1067635,-125,623,213,1266,44,347
1067652,-132,-1940,200,10,-3439,-1696
1067670,-101,-60,227,1169,-972,115
1067686,-114,-467,210,961,-1480,-287
1067703,-204,-325,124,1038,-1123,-224
1067720,-307,-236,107,1127,-928,348
1067752,-340,-2249,226,137,-3805,-1066
1067769,-164,-794,308,1025,-1751,-350
1067785,16,-1189,260,869,-2377,-579
1067802,108,-1211,199,854,-2303,-575
1067819,123,-1116,168,915,-2208,-451
1067836,49,-1073,150,991,-2073,-369
1067853,-54,-1227,140,1076,-2191,-431
1067886,-239,992,99,2049,649,508
1067902,-273,883,141,1874,365,812
1067919,-282,1461,177,2049,1289,899
1067935,-280,1305,161,2003,756,688
1067952,-290,1154,113,1879,515,412
1067969,-273,1227,87,1945,653,420
1068003,-173,967,117,1859,362,216
1068018,-159,919,132,1854,292,140
1068035,-171,781,187,1794,83,22
1068052,-153,689,178,1730,55,-72
1068069,-191,683,158,1805,-225,42
1068085,-251,1143,104,1987,706,295
1068119,-281,1053,107,2007,590,168
1068135,-224,574,163,1709,17,114
1068151,-108,-934,232,905,-1925,-1390
1068168,-82,-2449,260,318,-4252,-2076
1068185,-83,-1245,283,998,-2413,-836
1068202,-48,-1421,303,981,-2498,-792
