TIME,AF3,F7,F3,F4,F8,AF4
6468974,-838,1354,-182,1787,-1642,-1071
6469006,-806,1323,-180,1791,-1728,-1070
6469023,-856,1323,-183,1782,-1586,-1039
6469041,-811,1323,-175,1787,-1667,-1048
6469057,-809,1314,-179,1787,-1620,-1037
6469074,-822,1310,-180,1787,-1579,-1077
6469090,-850,1320,-156,1786,-1637,-1044
6469122,-846,1283,-154,1793,-1680,-1042
6469140,-840,1275,-154,1787,-1615,-1034
6469156,-819,1265,-149,1788,-1637,-1042
6469176,-810,1283,-150,1786,-1551,-1011
6469191,-741,1096,-159,1789,-1410,-940
6469210,-600,993,-150,1786,-1323,-900
6469273,-399,784,-126,1795,-1091,-875
6469290,-570,1106,-161,1784,-966,-900
6469310,-514,781,-136,1789,-946,-927
6469329,-442,565,-125,1785,-1101,-1005
6469373,-703,566,-173,1740,-1833,-1233
6469390,-931,386,-203,1723,-1961,-1273
6469407,-910,199,-222,1723,-2128,-1274
6469424,-829,1,-238,1692,-2170,-1258
6469440,-844,-17,-232,1714,-2262,-1240
6469456,-403,-29,-231,1726,-2100,-1130
6469488,-10,-152,-232,1724,-2158,-1071
6469505,123,-174,-233,1729,-2256,-1076
6469522,238,-299,-232,1723,-2120,-1030
6469539,274,-30,-251,1719,-2278,-1086
6469555,288,-58,-242,1719,-2301,-1076
6469573,294,10,-249,1693,-2093,-1066
6469605,266,27,-256,1699,-2190,-1114
6469622,333,31,-259,1701,-2247,-1119
6469639,437,-14,-258,1695,-2362,-1106
6469656,316,32,-266,1695,-2113,-1167
6469672,412,54,-269,1694,-2122,-1196
6469689,543,65,-266,1691,-2195,-1220
6469722,555,172,-262,1695,-2010,-1241
6469738,496,151,-256,1698,-1892,-1229
6469756,633,103,-253,1697,-1916,-1230
6469772,580,98,-255,1700,-1839,-1179
6469789,652,89,-258,1697,-1749,-1202
6469805,643,103,-256,1693,-1843,-1220
6469837,702,91,-259,1697,-1770,-1213
6469856,714,64,-258,1694,-1717,-1232
6469873,783,61,-261,1692,-1702,-1214
6469890,787,25,-260,1698,-1787,-1200
6469906,817,50,-264,1692,-1657,-1177
6469922,812,6,-263,1685,-1700,-1186
6469953,936,4,-266,1693,-1687,-1082
6469972,1008,-38,-262,1694,-1663,-1153
6469988,979,-30,-259,1696,-1708,-1140
6470005,946,-28,-260,1696,-1683,-1125
6470021,994,-66,-256,1698,-1810,-1169
6470038,959,-64,-259,1694,-1714,-1113
6470070,956,-27,-259,1692,-1843,-1167
6470090,999,-72,-251,1695,-1891,-1131
6470105,964,-53,-246,1699,-1913,-1136
6470121,992,-62,-254,1668,-1959,-1159
6470137,969,14,-238,1671,-1956,-1135
6470154,1006,-11,-248,1663,-1962,-1139
6470270,1426,-717,-276,1617,-2022,-1212
6470287,1466,-689,-277,1615,-2065,-1197
6470304,1485,-716,-281,1613,-2095,-1207
6470321,1473,-696,-292,1605,-2099,-1207
6470338,1500,-719,-299,1610,-2054,-1183
6470354,1519,-751,-298,1597,-2133,-1207
6470386,1499,-779,-320,1592,-2091,-1161
6470405,1565,-829,-323,1605,-2102,-1148
6470421,1577,-825,-327,1604,-2068,-1159
6470437,1525,-813,-321,1603,-2088,-1169
6470454,1501,-809,-302,1608,-2084,-1143
6470471,1456,-811,-291,1617,-2060,-1135
6470504,1356,-700,-261,1613,-1924,-1095
6470521,1129,-545,-260,1636,-1870,-1056
6470537,873,-523,-261,1630,-1781,-1040
6470554,860,-497,-255,1645,-1771,-1020
6470570,853,-498,-251,1643,-1773,-1045
6470587,843,-502,-251,1652,-1731,-1030
6470620,764,-506,-237,1669,-1634,-1006
6470637,755,-534,-238,1666,-1669,-1017
6470653,737,-541,-231,1667,-1604,-975
6470670,705,-530,-232,1669,-1583,-985
6470686,713,-514,-226,1690,-1483,-983
6470704,682,-531,-222,1677,-1519,-987
6470736,627,-515,-215,1689,-1471,-1017
6470753,569,-496,-202,1693,-1428,-977
6470770,532,-495,-200,1698,-1480,-980
6470786,497,-494,-194,1697,-1439,-968
6470803,487,-520,-198,1700,-1413,-961
6470819,469,-559,-202,1697,-1400,-968
6470837,436,-607,-198,1698,-1394,-953
6470868,391,-628,-202,1692,-1355,-949
6470886,357,-599,-195,1697,-1307,-954
6470902,401,-591,-200,1693,-1330,-955
6470920,389,-587,-187,1686,-1320,-949
6470936,344,-569,-186,1697,-1306,-964
6470953,333,-571,-182,1695,-1291,-949
6470969,322,-571,-160,1697,-1282,-960
6471003,265,-526,-164,1697,-1266,-960
6471019,293,-532,-162,1701,-1255,-953
6471036,291,-529,-158,1699,-1251,-954
6471052,281,-504,-156,1697,-1217,-953
6471069,288,-552,-168,1701,-1250,-937
6471086,312,-554,-175,1697,-1210,-936
6471118,306,-525,-195,1686,-1016,-921
6471135,356,-510,-183,1693,-1119,-1008
6471152,450,-544,-153,1702,-1236,-979
6471170,318,-469,-156,1698,-1004,-1067
6471186,239,-479,-159,1725,-1071,-1065
6471202,288,-464,-149,1725,-1117,-1104
6471234,197,-462,-122,1731,-1199,-1123
6471252,88,-448,-126,1729,-1115,-1077
6471267,155,-454,-122,1729,-1187,-1057
6471284,71,-411,-126,1725,-1127,-1073
6471302,22,-391,-124,1728,-1113,-1072
6471318,108,-413,-124,1728,-1173,-1054
6471350,39,-389,-124,1726,-1151,-1044
6471367,6,-406,-97,1724,-1092,-1038
6471384,-3,-391,-101,1727,-1069,-1027
6471402,15,-381,-105,1724,-1052,-985
6471418,28,-375,-94,1727,-1044,-1005
6471435,33,-360,-94,1727,-1079,-1011
6471467,36,-373,-94,1728,-1130,-991
6471484,14,-349,-94,1724,-1097,-972
6471500,26,-375,-94,1727,-1181,-1019
6471517,13,-382,-95,1728,-1115,-960
6471533,31,-375,-81,1727,-1181,-990
6471551,-5,-368,-83,1727,-1178,-969
6471583,35,-351,-64,1728,-1159,-934
6471600,1,-351,-68,1728,-1073,-943
6471617,-32,-358,-61,1730,-986,-930
6471634,-31,-361,-85,1730,-911,-921
6471651,-30,-374,-64,1730,-824,-894
6471668,-37,-397,-84,1728,-754,-901
6471699,-141,-387,-68,1729,-591,-932
6471717,-113,-380,-89,1731,-548,-948
6471734,-119,-387,-72,1730,-554,-954
6471750,-115,-392,-65,1735,-541,-926
6471767,-91,-402,-65,1742,-568,-969
6471784,-170,-392,-66,1723,-457,-939
6471819,-168,-414,-59,1732,-497,-980
6471833,-130,-416,-63,1747,-633,-950
6471849,-171,-412,-65,1727,-458,-973
6471867,-169,-415,-65,1733,-503,-967
6471884,-153,-415,-61,1729,-452,-973
6471901,-156,-398,-68,1731,-326,-986
6471932,-120,-416,-66,1727,-208,-966
6471949,-101,-385,-63,1734,-155,-909
6471967,49,-355,-66,1741,-69,-862
6471983,5,-332,-65,1731,-151,-950
6472001,1,-357,-64,1734,-252,-978
6472016,-63,-359,-63,1731,-340,-993
6472048,-130,-354,-61,1735,-381,-991
6472065,-155,-333,-64,1749,-392,-999
6472084,-164,-345,-56,1739,-437,-1002
6472099,-205,-350,-63,1741,-447,-986
6472116,-185,-343,-57,1755,-482,-977
6472132,-191,-360,-60,1747,-471,-973
6472150,-233,-353,-51,1752,-503,-975
6472181,-228,-350,-35,1753,-498,-957
6472199,-225,-328,-30,1761,-578,-942
6472217,-263,-331,-29,1762,-576,-949
6472233,-249,-349,-30,1760,-604,-943
6472250,-204,-358,-26,1759,-693,-940
6472266,-243,-352,-34,1760,-603,-929
6472298,-250,-366,-31,1757,-701,-948
6472316,-239,-388,-29,1762,-711,-952
6472333,-278,-398,-28,1761,-684,-898
6472350,-266,-427,-31,1784,-582,-910
6472366,-282,-451,-54,1750,-460,-899
6472383,-210,-477,-63,1750,-437,-900
6472415,-292,-467,-31,1762,-446,-949
6472432,-290,-479,-33,1771,-442,-961
6472449,-285,-481,-27,1758,-475,-927
6472465,-338,-497,-29,1768,-414,-937
6472483,-334,-475,-28,1776,-454,-925
6472499,-319,-475,-26,1763,-448,-938
6472531,-320,-366,-19,1775,-465,-914
6472549,-358,-347,-30,1758,-449,-939
6472564,-310,-348,-18,1772,-526,-927
6472583,-352,-330,-19,1763,-489,-937
6472599,-323,-333,-18,1763,-478,-903
6472615,-338,-335,-2,1767,-499,-949
6472647,-349,-304,0,1762,-466,-921
6472664,-322,-295,0,1765,-527,-940
6472682,-339,-288,-2,1763,-541,-926
6472698,-368,-257,4,1770,-544,-920
6472715,-368,-235,21,1782,-582,-913
6472731,-425,-232,29,1783,-518,-907
6472763,-314,-199,32,1789,-503,-796
6472781,-91,-196,30,1786,-535,-778
6472797,-39,-164,32,1787,-552,-766
6472814,-136,-145,47,1793,-687,-826
6472831,-151,-122,57,1794,-734,-893
6472848,-245,-125,33,1786,-744,-866
6472881,-297,-155,32,1784,-719,-897
6472898,-328,-163,30,1786,-721,-921
6472914,-336,-160,32,1780,-713,-904
6472931,-363,-146,33,1771,-708,-924
6472948,-359,-119,30,1765,-710,-917
6472964,-360,-67,33,1764,-649,-917
6472996,-362,-61,31,1758,-567,-905
6473014,-330,-28,36,1766,-531,-902
6473031,-373,-30,28,1760,-378,-909
6473048,-325,-31,27,1755,-314,-898
6473064,-307,-33,-4,1750,-159,-928
6473081,-261,-20,-6,1736,-108,-891
6473113,-446,52,28,1761,36,-954
6473131,-458,108,29,1758,89,-965
6473147,-514,173,36,1758,61,-971
6473164,-531,204,30,1755,50,-961
6473181,-543,259,32,1755,-2,-955
6473197,-555,316,31,1757,0,-938
6473229,-564,391,33,1757,-65,-932
6473248,-581,398,36,1757,-43,-933
6473264,-540,410,47,1761,-78,-911
6473281,-549,410,49,1758,-56,-916
6473297,-538,399,44,1759,-48,-908
6473315,-545,416,53,1760,-70,-911
6473346,-543,412,47,1760,-25,-892
6473364,-504,429,52,1763,-50,-862
6473379,-503,431,48,1763,-72,-924
6473397,-476,431,58,1764,-130,-875
6473414,-453,452,50,1776,-123,-877
6473431,-491,448,57,1755,-172,-914
6473462,-532,449,60,1755,-216,-907
6473480,-497,461,60,1767,-268,-891
6473496,-503,466,60,1768,-326,-880
6473512,-496,490,62,1772,-358,-881
6473530,-508,508,63,1784,-411,-871
6473546,-477,528,64,1782,-501,-872
6473563,-511,555,68,1780,-487,-893
6473595,-488,635,66,1781,-517,-863
6473613,-487,634,69,1787,-550,-914
6473629,-499,637,62,1785,-549,-832
6473645,-511,654,66,1776,-490,-887
6473663,-477,656,82,1776,-520,-868
6473679,-522,654,52,1774,-527,-889
6473711,-494,678,59,1766,-454,-844
6473728,-454,713,68,1781,-426,-819
6473746,-339,716,68,1771,-364,-767
6473761,-277,739,62,1779,-412,-746
6473779,-213,715,67,1783,-374,-760
