TIME,AF3,F7,F3,F4,F8,AF4
584535,-4040,-7223,-837,153,-7244,-1425
584569,-5455,-6970,-736,120,-6941,-1727
584587,-4420,-6329,-596,171,-6948,-1399
584603,-3179,-5129,-567,213,-6902,-1051
584620,-2693,-4610,-562,260,-6617,-930
584637,-2577,-4383,-566,276,-6422,-910
584654,-2449,-4244,-578,305,-6223,-889
584685,-3121,-4954,-608,233,-6671,-1078
584702,-2302,-3076,-517,336,-5586,-811
584719,-1411,-951,-497,455,-4343,-591
584736,-1834,-3021,-598,411,-5455,-757
584754,-3163,-5643,-665,223,-6950,-1145
584770,-4287,-6523,-718,155,-7006,-1452
584802,-6716,-6955,-833,94,-6937,-2219
584819,-6994,-6958,-849,66,-6935,-2560
584837,-6985,-6933,-878,-7,-6936,-2821
584853,-6955,-6936,-865,-37,-6936,-3154
584870,-6946,-6934,-822,-37,-6936,-3131
584887,-6949,-6934,-811,-40,-6936,-3131
584918,-7001,-6994,-699,10,-6936,-2766
584935,-6952,-7017,-628,61,-6985,-2394
584952,-6395,-6112,-548,103,-7131,-1961
584969,-5086,-4679,-508,152,-7217,-1580
584986,-3273,1938,-393,494,-2754,-1073
585002,-90,5860,-343,786,4928,-292
585034,3325,7118,-269,930,7273,588
585052,6063,6981,-88,943,6992,1472
585068,7158,6959,192,1018,6956,2856
585085,7060,6955,329,1116,6957,4193
585102,6965,6957,251,1112,6959,4819
585118,6956,6957,5,1107,6957,4521
585151,6958,6957,-298,1094,6957,3371
585168,7004,6997,-376,1033,6957,2772
585186,7061,7069,-471,973,6994,2198
585201,6848,7154,-548,940,7166,1646
585218,5237,5789,-642,917,7319,947
585236,2672,1885,-772,757,5501,225
585269,-3207,-7021,-857,152,-7284,-1317
585285,-4519,-7125,-841,123,-7199,-1676
585302,-5198,-7035,-786,111,-6966,-1771
585319,-4338,-6202,-636,154,-6941,-1429
585335,-3335,-5243,-582,196,-6907,-1127
585352,-3028,-5162,-663,199,-6908,-1064
585369,-4172,-6608,-813,149,-6938,-1462
585401,-7052,-7316,-766,34,-7155,-2444
585417,-5463,-6136,-513,111,-7249,-1644
585435,-2355,-986,-367,310,-5494,-798
585452,382,5282,-324,691,1838,-85
585468,1573,5673,-375,830,5347,29
585486,-39,724,-729,456,-523,-516
585517,-6846,-7260,-1033,28,-7332,-2882
585534,-7043,-6990,-1002,-40,-6938,-3380
585552,-6972,-6937,-881,-38,-6939,-3300
585569,-6936,-6936,-747,9,-6939,-2910
585584,-6940,-6937,-710,53,-6936,-2616
585602,-6930,-6939,-716,94,-6936,-2465
585634,-6974,-6973,-653,95,-6937,-2765
585651,-6742,-6202,-549,122,-7002,-2449
585668,-5105,-5183,-534,176,-6986,-1822
585684,-3893,-3107,-475,268,-6236,-1442
585701,-2884,-1210,-490,424,-4866,-1183
585718,-2833,-1723,-530,425,-4773,-1201
585750,-2689,-2110,-568,437,-4817,-1180
585768,-3809,-5122,-666,274,-6552,-1569
585785,-5328,-6680,-755,138,-7036,-2049
585801,-6394,-7080,-759,113,-7008,-2343
585818,-6500,-6878,-705,100,-7032,-2344
585834,-5622,-5773,-606,136,-7064,-2029
585866,-2490,-28,-491,478,-3423,-1148
585883,-2113,163,-524,557,-2286,-1096
585900,-2431,-1263,-577,480,-3436,-1227
585917,-2564,-1428,-572,482,-3572,-1261
585934,-1370,2348,-467,647,1260,-856
585951,689,5912,-386,890,6507,-267
585982,3932,7046,-297,940,7079,697
586000,4823,7002,-301,934,6977,967
586018,5182,6963,-325,940,6958,1032
586033,5696,6961,-293,940,6957,1215
586050,6681,6983,-252,948,6958,1589
586067,6821,7059,-313,950,6985,1672
586099,3965,6026,-600,929,7288,544
586117,1580,2693,-702,880,5708,-159
586134,-930,-3320,-722,584,-802,-820
586149,-2190,-4990,-700,466,-5347,-1095
586166,-2106,-3419,-615,460,-4614,-1004
586183,-2495,-6135,-758,273,-6843,-1484
586215,-6827,-7170,-864,79,-7074,-2537
586233,-6657,-7259,-718,74,-7288,-2372
586249,-4874,-5486,-548,143,-7148,-1727
586282,806,6252,-331,826,5805,-105
586299,2481,7019,-371,936,7371,420
586332,1546,4556,-562,864,5722,-77
586349,710,3543,-568,815,4710,-298
586366,960,4342,-505,831,5281,-189
586383,2116,5948,-423,890,6743,183
586399,2895,6549,-416,908,7015,401
586416,3828,7015,-392,907,7000,691
586448,5943,6975,-196,939,6956,1422
586465,7117,7045,-188,980,6966,2174
586482,7014,7082,-353,973,7028,1955
586499,5673,6899,-550,941,7175,1172
586515,2590,3529,-712,891,6211,190
586532,1338,2117,-627,842,4823,-78
586564,-518,-1723,-655,613,-1760,-553
586582,-2013,-4829,-707,401,-5812,-996
586598,-3152,-5711,-727,254,-6810,-1318
586616,-3540,-5906,-702,203,-7023,-1405
586632,-3381,-5194,-614,227,-6729,-1319
586649,-2181,-3024,-552,368,-5400,-953
586681,-930,-31,-549,594,-2611,-611
586698,-1183,-964,-616,508,-3445,-697
586714,-2423,-4276,-628,355,-5827,-1082
586732,-1206,-76,-478,518,-2772,-651
586748,597,4538,-428,764,3652,-119
586765,1303,4868,-473,848,5124,14
586797,-1261,-1722,-594,565,-3436,-711
586815,91,3047,-372,840,2073,-239
586831,2747,7223,-210,946,7245,1011
586848,5731,7200,-276,937,7228,1375
586865,5776,7226,-342,945,7144,1344
586881,4428,6481,-520,922,7197,867
586914,104,-668,-677,727,680,-365
586931,-623,-1795,-655,634,-2413,-533
586948,-1243,-2944,-646,451,-4629,-689
586964,-1708,-4657,-686,355,-6012,-831
586981,-2801,-5169,-694,273,-6594,-1128
586997,-3842,-6282,-764,182,-7043,-1431
587031,-7020,-6990,-922,72,-6947,-2531
587048,-7091,-7079,-850,53,-6961,-2653
587065,-6924,-6955,-621,88,-7244,-2081
587081,-5368,-4322,-477,179,-6942,-1369
587099,-1647,1366,-386,480,-3399,-674
587115,877,5895,-318,793,4815,6
587147,2799,6452,-417,931,7152,462
587164,2827,6273,-446,938,6969,449
587181,2010,5031,-543,906,5991,170
587198,970,3291,-598,798,4298,-123
587214,257,1683,-569,755,2332,-294
587231,46,911,-585,724,763,-339
587262,-572,303,-552,642,-1006,-485
587280,-507,280,-583,674,-830,-505
587297,-1663,-3272,-674,499,-4838,-861
587312,-3022,-5598,-714,260,-6717,-1261
587329,-3727,-6016,-700,185,-7214,-1490
587347,-3635,-4407,-578,272,-6255,-1404
587379,-630,1447,-514,657,-677,-546
587397,-611,1084,-537,671,-586,-539
587412,-890,-188,-596,656,-1641,-646
587430,-1954,-3225,-643,463,-5187,-951
587446,-2108,-3065,-594,419,-5030,-945
587463,-2177,-3204,-587,413,-5133,-988
587497,-1844,-2006,-585,458,-4434,-894
587513,-1545,-897,-554,521,-3329,-803
587530,-147,3335,-433,693,2151,-355
587546,2940,7241,-255,947,7457,577
587562,5055,7143,-240,948,7185,1199
587580,5967,7045,-286,961,7053,1438
587613,5169,6877,-443,943,6959,1122
587629,4843,6889,-419,941,6959,1034
587646,5426,6958,-357,949,6960,1235
587663,6037,6961,-358,944,6960,1428
587680,6167,6976,-371,951,6960,1415
587696,6314,7050,-360,950,6997,1778
587728,4706,6225,-541,936,7195,1154
587746,2422,3190,-698,806,5460,316
587762,34,-1747,-688,684,-1073,-433
