t,AF3,F7,F3,F4,F8,AF7
0,-1347.9523,635.2528,1219.0508,1049.8549,-291.9681,146.0029
19.6078,-1312.8651,657.7053,1249.9154,1097.2035,-290.9616,149.047
39.2157,-1317.9969,663.3274,1253.0812,1087.934,-291.9652,156.9797
58.8235,-1367.7854,639.5744,1208.7841,1069.015,-290.9645,134.0365
78.4314,-1486.9702,595.2466,1130.2034,979.8151,-292.9614,104.007
98.0392,-1495.6636,603.7166,1157.7445,984.0248,-292.967,97.9741
117.6471,-1522.9613,570.3771,1145.0771,986.9664,-292.9579,87.9615
137.2549,-1432.4939,631.6088,1187.8563,1043.1393,-290.9716,110.9529
156.8627,-1430.1398,621.3582,1186.2019,1055.9576,-284.9593,109.0201
176.4706,-1444.4583,631.6348,1169.7687,1056.1952,-289.9766,99.9849
196.0784,-1438.1071,659.1489,1150.2631,1027.7582,-291.9515,94.0225
215.6863,-1477.4502,627.7707,1153.8364,1012.0344,-292.9786,87.9661
235.2941,-1466.2295,632.1151,1182.1238,1038.891,-293.9458,79.9878
254.902,-1432.2375,619.7934,1206.7755,1082.0942,-294.9806,94.0193
274.5098,-1474.4221,584.1177,1162.1099,1033.8281,-287.9453,77.9702
294.1176,-1507.275,549.8118,1124.7761,1019.2234,-291.9874,65.9524
313.7255,-1487.4518,597.0452,1128.0846,1048.7311,-292.937,69.0166
333.3333,-1540.0238,564.7601,1080.8843,1020.1022,-292.9919,65.9608
352.9412,-1578.7003,563.0801,1069.0851,1003.6774,-290.9334,41.9903
372.549,-1569.9253,545.7806,1053.7841,988.1635,-290.9981,50.0053
392.1569,-1622.6255,559.1533,1049.0413,990.8024,-290.9289,29.9618
411.7647,-1607.9348,551.8621,1050.7892,1013.2332,-291.0025,32.9987
431.3725,-1702.9302,478.9423,965.0663,932.6994,-291.924,8.9831
450.9804,-1759.8556,444.9369,920.8148,930.4008,-292.0065,4.0662
470.5882,-1765.9283,443.0315,929.0844,925.7085,-293.918,0.0209
490.1961,-1779.6616,435.0399,881.8913,909.4183,-292.0112,-17.8459
509.8039,-1756.197,459.8388,896.9728,968.5623,-288.9164,-14.998
529.4118,-1789.6073,443.94,883.87,954.4968,-288.0186,-11.8603
549.0196,-1826.215,420.8998,842.0358,942.4152,-288.9118,-33.0024
568.6275,-1837.4664,426.0418,821.0583,932.4639,-288.0234,-31.8393
588.2353,-1900.3953,382.8239,764.9273,897.33,-288.9063,-64.0807
607.8431,-1895.3837,387.1954,736.9603,903.5054,-292.0261,-60.8483
627.451,-1896.5812,355.7639,733.871,885.2695,-289.9,-70.0711
647.0588,-1920.22,319.1732,692.0401,887.5959,-291.0318,-90.8203
666.6667,-1943.6108,310.7583,618.6354,884.3467,-289.8953,-91.0668
686.2745,-1984.9303,293.2928,575.2321,839.7122,-289.0381,-107.7191
705.8824,-1986.6862,272.6761,555.7152,832.0936,-293.8878,-106.0997
725.4902,-1993.985,283.1917,505.1444,816.8732,-295.0391,-121.7206
745.098,-2028.0236,242.5786,471.4679,817.0643,-292.8835,-129.2043
764.7059,-2013.7769,233.3304,430.3232,784.7823,-293.0451,-140.7195
784.3137,-2043.0654,212.4803,359.4468,750.9119,-289.8813,-156.172
803.9216,-2003.5576,220.4223,349.2639,752.0645,-291.0508,-156.6466
823.5294,-2022.1699,203.5607,298.4445,743.8687,-291.8754,-158.228
843.1373,-1948.4246,219.3962,301.3564,764.1542,-292.0551,-155.6417
862.7451,-1993.3927,180.379,195.2495,729.675,-293.8693,-171.3398
882.3529,-1941.2655,217.5137,224.614,763.207,-290.059,-179.5467
901.9608,-1826.3754,231.3144,209.1337,759.6472,-290.8688,-172.3493
921.5686,-1810.1002,207.6386,151.535,720.1919,-292.0615,-182.5721
941.1765,-1742.614,222.3837,119.9108,732.6027,-291.8641,-181.4305
960.7843,-1698.8793,221.5296,120.6467,749.3335,-292.066,-179.4555
980.3922,-1690.8314,192.285,58.888,710.4028,-291.8593,-192.442
1000,-1660.8333,189.6133,27.7746,702.5406,-292.0705,-195.4591
1019.6078,-1535.8539,235.2221,22.8257,724.3788,-292.8545,-181.5259
1039.2157,-1427.5748,203.7329,-20.7462,705.6089,-285.0791,-182.4252
1058.8235,-1420.0873,184.1573,-71.1472,673.1338,-291.8505,-190.5225
1078.4314,-1357.564,202.707,-74.6591,680.6918,-291.0801,-181.3243
1098.0392,-1286.1401,214.9907,-117.3288,683.1076,-288.8477,-179.6093
1117.6471,-1227.2856,213.7989,-92.6138,663.7774,-290.0855,-183.2888
1137.2549,-1090.1804,217.9478,-133.3813,652.9036,-290.8416,-182.6444
1156.8627,-1014.1948,211.9241,-130.5792,659.9113,-293.0882,-183.2335
1176.4706,-920.3057,207.9294,-144.5034,626.6847,-289.8384,-171.7343
1196.0784,-842.9651,205.9412,-193.3071,620.0636,-289.0939,-170.1974
1215.6863,-771.4456,225.7974,-207.695,605.7291,-290.8347,-161.7014
1235.2941,-691.8851,267.1746,-243.3238,626.2993,-290.0966,-156.1065
1254.902,-527.4984,287.7409,-241.8348,662.6027,-291.8307,-153.7741
1274.5098,-498.7473,246.0728,-267.0831,659.4647,-290.0997,-151.0485
1294.1176,-412.5899,281.6193,-260.0537,667.3085,-290.828,-152.8648
1313.7255,-314.5989,292.1739,-294.9338,648.4407,-290.1034,-140.9937
1333.3333,-247.7356,314.5994,-299.1504,640.2442,-292.8228,-127.9211
1352.9412,-182.594,309.3192,-320.8411,629.6418,-290.1084,-123.9193
1372.549,-71.6925,310.4218,-330.2793,662.2028,-292.8179,-115.9588
1392.1569,81.5159,356.2914,-306.7093,659.8624,-291.1124,-99.9145
1411.7647,118.8067,326.5461,-345.4944,643.9662,-290.8144,-96.0164
1431.3725,197.5135,346.4281,-308.5064,677.88,-291.1165,-81.7875
1450.9804,275.8033,396.2677,-268.5746,715.7762,-288.8121,-77.0367
1470.5882,281.738,363.5779,-294.3729,676.965,-291.1196,-72.7826
1490.1961,430.8336,403.3225,-290.6649,677.7808,-291.807,-64.1085
1509.8039,432.7671,381.5852,-320.287,687.1892,-291.1227,-66.6754
1529.4118,494.7117,382.2769,-313.8448,663.5369,-290.8052,-61.1858
1549.0196,516.7659,394.6357,-309.1667,652.4106,-291.1251,-58.6346
1568.6275,592.5727,383.0655,-303.8621,687.3871,-293.8005,-44.2222
1588.2353,617.8439,391.6897,-324.9541,681.3676,-292.1266,-41.56
1607.8431,743.4512,451.0528,-279.0317,735.2119,-290.8019,-24.2776
1627.451,790.9915,446.8755,-278.9729,759.5443,-293.1267,-11.5042
1647.0588,771.4288,415.9631,-292.3005,715.093,-292.7985,-19.3323
1666.6667,864.0076,451.9247,-256.6675,741.7976,-296.1272,0.479
1686.2745,837.5357,434.899,-298.4597,717.0613,-290.7971,-3.4193
1705.8824,885.0948,486.1509,-261.6995,765.9098,-295.1305,8.514
1725.4902,1017.3596,482.7931,-269.5323,784.8811,-289.7953,26.4423
1745.098,1070.2738,538.0986,-250.3754,824.097,-291.1352,31.5484
1764.7059,1108.4602,561.8041,-206.5923,812.7325,-291.7921,31.3922
1784.3137,1106.2468,527.1591,-240.3448,772.0529,-289.1383,33.6166
1803.9216,1096.3683,504.6661,-239.655,779.5758,-292.7894,29.4118
1823.5294,1098.3993,512.3308,-268.2019,762.2921,-292.1388,31.648
1843.1373,1200.405,562.4993,-177.7904,841.5092,-293.7865,61.2954
1862.7451,1205.3416,566.4341,-212.1186,824.4688,-291.1412,60.7294
1882.3529,1296.3505,635.4693,-112.8996,895.4578,-291.7861,80.2872
1901.9608,1246.3419,589.4283,-176.0493,854.4634,-292.1423,72.7073
1921.5686,1249.2255,593.4615,-140.9991,840.2252,-292.7843,71.2056
1941.1765,1264.316,596.6334,-109.8626,829.5375,-292.1439,74.768
1960.7843,1243.2908,562.2581,-125.1854,832.1174,-290.7832,83.1803
1980.3922,1260.3843,568.6222,-89.736,857.6245,-292.146,90.8632
2000,1249.2035,560.2373,-81.3815,869.0338,-290.7814,89.1924
2019.6078,1283.3898,590.7448,-64.6558,880.8762,-290.1486,91.8684
2039.2157,1253.3702,561.2379,-81.4867,843.8948,-293.7784,92.136
2058.8235,1292.3705,580.8851,-67.5687,861.8378,-290.1495,91.9059
2078.4314,1280.3118,584.0561,-55.5495,832.8484,-289.78,97.0968
2098.0392,1275.4944,569.9471,12.3858,845.1097,-292.1496,92.9082
2117.6471,1315.3771,626.1152,31.0979,867.8764,-290.7782,110.0426
2137.2549,1330.4812,632.0547,34.441,885.1841,-293.1499,116.9817
2156.8627,1275.2891,593.8284,19.1638,873.668,-292.776,109.0416
2176.4706,1309.4364,634.9497,23.5562,903.16,-291.1525,124.0345
2196.0784,1333.3652,662.9011,33.9296,929.5347,-287.7781,129.0099
2215.6863,1338.3304,677.1625,43.6535,927.434,-293.1517,138.013
2235.2941,1339.3046,681.8416,122.9616,931.5538,-287.777,148.9804
2254.902,1358.2397,710.3011,148.7708,945.3915,-292.1541,149.095
2274.5098,1358.3904,684.7915,190.904,949.3562,-293.7718,158.9522
2294.1176,1327.3334,642.316,149.9303,925.4941,-291.1558,147.1063
2313.7255,1323.3588,689.6786,208.9078,968.4216,-291.7717,160.8559
2333.3333,1291.3793,673.2992,238.899,979.6329,-290.1578,159.1496
2352.9412,1269.4945,693.4923,252.7504,943.3154,-292.7695,168.9016
2372.549,1300.3209,730.4201,309.988,978.6439,-290.1593,176.1907
2392.1569,1263.3937,714.3809,308.6541,966.1821,-291.7701,164.8443
2411.7647,1277.2842,720.5632,361.0738,985.6606,-288.1602,169.1949
2431.3725,1251.385,717.3295,344.5403,1019.1302,-292.7697,175.8792
2450.9804,1247.23,720.6365,372.104,1017.6921,-288.1604,175.1778
2470.5882,1215.4962,742.3248,391.63,1003.0857,-285.7731,185.8614
2490.1961,1226.1589,790.7233,486.2327,1038.7815,-289.1614,193.2667
2509.8039,1251.4683,782.2318,506.5212,1048.0503,-290.768,197.7756
2529.4118,1205.0844,772.8601,501.1301,1020.9509,-292.161,195.2114
2549.0196,1179.6494,750.1774,504.5411,1059.995,-294.7631,206.7951
2568.6275,1139.0978,729.9253,475.3437,1038.8794,-293.1621,195.2264
2588.2353,1166.5461,797.2183,540.4516,1128.951,-288.7653,212.7479
2607.8431,1171.0405,800.8747,596.3456,1127.0597,-292.1642,215.238
2627.451,1145.7783,791.9619,582.3928,1113.9824,-291.7619,221.7733
2647.0588,1100.0146,786.8963,584.3237,1085.0182,-291.1664,202.2665
2666.6667,1099.8094,800.9708,607.545,1093.9646,-293.7591,198.7809
2686.2745,1039.9431,758.0077,608.4645,1086.1005,-292.1671,215.2549
2705.8824,922.8222,723.9694,529.3784,1043.8684,-287.7624,197.7225
2725.4902,929.9226,761.0978,586.3243,1086.9696,-292.1689,206.3134
2745.098,869.8462,722.8271,587.4729,1059.8368,-289.7591,202.7188
2764.7059,861.7389,761.1595,594.5209,1055.0117,-291.1713,201.3159
2784.3137,846.8833,780.8974,619.3077,1084.8553,-292.7555,200.7876
2803.9216,777.7874,722.1068,606.3781,1049.1328,-294.171,199.3
2823.5294,738.9109,712.7664,615.4183,1033.939,-292.7541,193.7675
2843.1373,731.7432,732.3287,636.5326,1056.085,-292.1737,198.3372
2862.7451,670.8098,706.6564,646.3991,1033.9364,-289.7561,182.7167
2882.3529,664.6621,728.2761,639.5526,1015.0632,-293.1723,190.2643
2901.9608,617.827,709.6265,658.2375,1017.7437,-289.7552,181.7564
2921.5686,552.6663,694.3992,626.4272,1013.1618,-292.1745,184.2932
2941.1765,475.0203,668.5157,656.2998,994.8237,-294.7503,176.7631
2960.7843,413.5022,656.4161,657.4227,999.0558,-289.1788,171.303
2980.3922,364.8545,631.5197,641.2339,977.7995,-294.7475,170.8057
3000,348.3975,646.5228,678.5157,991.0492,-289.1815,170.2438
3019.6078,344.0771,657.4042,711.4062,1011.8969,-293.7461,173.7959
3039.2157,339.3848,669.4764,710.5867,1033.9451,-292.1812,181.2885
