t,AF3,F7,F3,F4,F8,AF7
0.0000,-76.6965,768.7213,338.3727,664.6362,-181.2578,-13.6995
20.0000,-97.9048,757.2634,351.6485,669.4547,-168.4627,-20.6754
40.0000,-61.7294,769.9868,350.3717,667.6653,-165.2316,-11.8087
60.0000,-73.9378,752.2211,335.6028,660.2643,-187.4768,-30.7540
80.0000,-90.6637,745.0875,327.4318,649.6736,-188.1427,-35.6348
100.0000,-64.0602,756.1383,348.5574,665.2938,-180.5484,1.9576
120.0000,-61.6030,758.1355,350.4587,669.7131,-179.1040,2.9923
140.0000,-63.0865,756.9940,337.5010,657.1532,-204.7068,0.9808
160.0000,-66.5112,761.0389,333.5346,651.7191,-185.8112,12.1477
180.0000,-63.1486,764.9340,345.4753,664.1005,-180.7600,31.8202
200.0000,-65.4167,753.0928,349.5716,662.8279,-187.8165,35.1018
220.0000,-60.1088,749.7743,351.4674,659.1506,-201.9638,31.7781
240.0000,-52.3005,754.3310,356.5799,683.9247,-178.7468,64.1419
260.0000,-76.3211,742.8702,339.3951,652.0906,-205.9243,60.7475
280.0000,-59.2911,758.3773,351.6043,661.8738,-182.4433,90.1380
300.0000,-55.2514,772.7347,360.3785,683.0560,-174.1371,96.7285
320.0000,-52.1934,771.3687,352.6559,664.0515,-167.3909,101.1704
340.0000,-60.2658,772.6810,349.3486,673.8727,-167.2553,111.6630
360.0000,-27.2976,785.2934,371.6057,692.1454,-149.1487,148.2179
380.0000,-37.3116,786.5452,338.4087,661.9320,-153.3472,134.7938
400.0000,-67.2408,771.3972,347.5922,667.1144,-157.0876,129.3002
420.0000,-29.4663,782.5214,348.3999,674.8614,-158.6031,148.8005
440.0000,-31.1848,799.4437,361.6101,685.1981,-166.9544,156.4519
460.0000,-26.3710,803.4949,370.3647,684.8206,-156.6184,170.7609
480.0000,-37.1911,784.3500,364.6099,681.1865,-182.7721,153.4384
500.0000,-29.4735,806.5647,364.4439,690.7478,-162.9351,183.5968
520.0000,-36.1680,793.2813,357.6076,684.1743,-180.7177,168.4292
540.0000,-28.4241,811.5352,366.4527,691.7966,-159.0337,189.6540
560.0000,-34.3262,810.2253,342.5103,666.1225,-170.5726,178.5077
580.0000,-19.2764,833.7208,376.4770,694.7695,-150.2215,200.6336
600.0000,-6.2005,843.1893,373.5428,697.1446,-149.3649,198.3978
620.0000,-30.2080,841.7674,363.5250,686.9081,-165.2579,179.5698
640.0000,-25.3103,843.1437,365.4811,690.1278,-157.3258,183.4415
660.0000,-28.2863,839.6879,354.5414,673.7353,-178.3718,172.5384
680.0000,-56.4436,842.1510,331.4230,648.2734,-188.0783,159.3584
700.0000,-31.1162,843.7466,349.6107,663.7566,-178.4875,153.5856
720.0000,-49.4845,819.2240,337.2943,663.1292,-169.0303,147.4344
740.0000,-58.9864,817.8696,341.6693,657.8215,-180.7133,115.6891
760.0000,-58.5029,816.1016,345.2231,661.1962,-185.9725,121.4663
780.0000,-58.0379,806.8512,350.7880,659.7567,-184.6195,120.6126
800.0000,-50.7555,815.0919,345.1449,660.1108,-182.9265,109.5262
820.0000,-63.9243,817.0416,349.8319,654.8907,-183.8338,89.5070
840.0000,-71.8013,820.9286,329.0564,632.0464,-195.8460,60.4061
860.0000,-58.6150,828.8690,340.9548,661.9191,-152.8176,65.6495
880.0000,-61.9954,810.9781,331.9929,654.1232,-165.7743,58.5356
900.0000,-63.6534,810.9976,328.0390,651.9561,-168.8348,35.4789
920.0000,-66.0742,807.8565,326.9151,653.0396,-170.6310,31.4020
940.0000,-66.4054,811.0360,325.1071,656.8638,-158.8606,28.7038
960.0000,-54.2095,829.7431,351.8885,675.1171,-145.6919,36.3165
980.0000,-61.2809,803.9911,319.1580,652.8442,-172.9294,2.5166
1000.0000,-67.4146,829.7086,322.8025,634.9426,-172.7229,-4.3853
1020.0000,-62.1622,831.1226,319.2279,633.9519,-159.9491,-5.1989
1040.0000,-65.4981,832.7475,319.7189,630.0342,-155.6953,-16.3136
1060.0000,-65.9471,828.0607,324.2884,635.8834,-158.8792,-34.2048
1080.0000,-62.7480,829.6789,340.6674,655.9427,-169.7559,-20.2767
1100.0000,-56.8928,838.1975,317.3672,625.9067,-161.8442,-4.2725
1120.0000,-56.8824,850.6631,332.6145,656.9982,-145.7180,0.5523
1140.0000,-45.5619,838.1933,320.4302,641.0027,-148.8215,-6.1489
1160.0000,-48.9520,846.6619,331.5303,654.0078,-137.6688,-14.4075
1180.0000,-47.4998,841.0027,339.4877,658.0059,-129.8342,-11.3107
