t,1,2,3,4,5,6
0.0000,82.9141,319.4521,-329.6856,-111.1961,-152.5199,308.0862
20.0000,62.3480,329.4782,-319.8134,-120.0246,-159.5075,308.7456
40.0000,94.5277,316.3602,-324.9708,-110.5356,-161.8581,303.5392
60.0000,87.1299,311.7628,-330.8923,-100.9062,-151.7209,306.2048
80.0000,70.6720,316.3765,-323.8254,-102.5579,-145.7485,304.7506
100.0000,90.4785,312.5957,-331.2640,-118.2768,-160.6595,302.4601
120.0000,93.4626,311.8579,-333.0609,-118.0194,-161.6892,304.2529
140.0000,92.4612,310.4859,-339.8909,-115.0966,-154.0389,301.2786
160.0000,85.9807,312.8608,-329.1450,-119.9592,-151.2172,299.7498
180.0000,87.4318,314.7092,-332.5311,-131.8426,-158.2186,302.2174
200.0000,83.8811,313.5511,-334.1739,-136.4589,-161.1420,299.8198
220.0000,88.6243,311.7238,-339.1435,-134.9729,-163.5467,295.9500
240.0000,95.9471,305.4345,-343.6465,-145.3246,-164.4428,308.4509
260.0000,69.5341,314.0555,-337.6058,-151.1206,-154.0262,297.4811
280.0000,80.8505,313.8328,-334.3060,-162.4058,-162.3961,296.5285
300.0000,87.8417,315.7576,-340.7878,-164.8542,-166.3163,306.2354
320.0000,85.8013,314.8322,-330.1699,-164.8384,-163.1776,296.6398
340.0000,80.0361,315.6933,-334.6490,-170.1264,-158.8532,305.0602
360.0000,105.9214,308.8970,-339.8053,-182.4213,-174.7738,303.3729
380.0000,96.2298,307.6841,-329.5414,-169.2963,-154.0376,298.5958
400.0000,68.9102,319.3214,-326.3371,-181.1365,-157.4287,301.9757
420.0000,103.4744,303.6422,-338.9697,-176.0371,-160.2266,301.5910
440.0000,102.2108,314.2733,-345.1587,-186.0287,-168.0447,303.1125
460.0000,102.5928,316.9536,-340.2173,-194.8910,-174.3954,298.6191
480.0000,95.9177,314.1258,-348.5164,-189.2892,-170.3356,299.8786
500.0000,100.8672,316.0768,-347.0508,-199.2993,-169.1156,304.8517
520.0000,96.8083,313.4566,-351.0990,-192.8368,-164.8624,304.2158
540.0000,100.8331,317.9630,-345.8446,-202.5965,-170.3588,304.5455
560.0000,94.6144,316.7532,-340.4282,-192.9454,-156.0563,298.3682
580.0000,106.9551,325.1693,-343.3922,-208.9027,-177.5360,301.3730
600.0000,120.7511,320.5161,-347.0946,-201.3424,-176.3424,302.5725
620.0000,100.8998,330.3970,-345.1214,-199.0507,-168.6187,303.1905
640.0000,105.0502,328.3526,-344.0357,-199.0685,-169.9640,303.8806
660.0000,102.2755,328.3764,-345.8640,-193.4648,-164.1394,298.0444
680.0000,75.6136,339.7858,-334.9919,-191.6569,-148.3496,294.5399
700.0000,100.6290,331.4909,-340.1911,-184.5469,-161.7522,294.3749
720.0000,85.2615,325.9238,-334.6472,-181.5562,-151.6789,301.1643
740.0000,79.4355,333.2791,-333.0399,-172.9039,-155.0251,297.7668
760.0000,79.5919,333.2440,-336.8333,-176.9621,-157.1685,298.2787
780.0000,78.5121,332.0949,-334.7133,-178.7549,-161.3730,295.0436
800.0000,88.0466,329.0941,-336.0071,-167.9842,-158.0940,296.9289
820.0000,76.6133,339.3816,-329.3094,-166.1439,-161.0509,293.7946
840.0000,71.5514,341.6589,-323.7258,-149.5388,-148.6956,288.8598
860.0000,87.0857,334.8449,-320.7354,-145.5931,-154.5072,302.0943
880.0000,84.5954,328.1578,-323.5138,-140.6363,-149.0855,300.9342
900.0000,86.6344,327.7843,-323.1877,-128.5145,-146.7303,301.7882
