t,AF3,F7,F3,F4,F8,AF7
0.0000,-89.5079,650.4855,480.7426,578.0955,-402.3085,-0.2087
20.0000,-127.3953,623.5461,444.2278,553.8296,-413.4477,-21.6226
40.0000,-92.4164,613.4434,466.7771,555.1014,-387.3042,-6.0753
60.0000,-97.4967,609.4136,472.2266,580.8033,-391.4835,0.0505
80.0000,-108.2174,625.5967,456.7947,564.1901,-382.3150,-0.8863
100.0000,-115.6747,627.4905,464.1696,586.7191,-389.5247,-1.0527
120.0000,-95.0706,625.6334,473.8453,597.2695,-364.2854,32.1620
140.0000,-104.8377,651.3712,448.1117,589.6532,-333.4757,25.7178
160.0000,-83.9069,657.5833,478.9375,614.3578,-321.1591,49.4116
180.0000,-83.9792,665.4286,476.0082,610.5606,-318.5371,61.5414
200.0000,-113.7555,631.7200,449.9979,573.4003,-383.1326,12.5565
220.0000,-90.1897,661.2234,474.9287,586.4812,-347.6684,36.3334
240.0000,-82.5434,644.7352,473.0926,629.4990,-307.0677,68.7982
260.0000,-152.3732,613.1375,429.8452,584.3962,-371.8437,20.1007
280.0000,-97.3572,667.9155,488.2070,629.5912,-302.8579,76.0481
300.0000,-95.5345,656.0728,465.7265,626.2986,-318.8733,73.8977
320.0000,-129.1965,620.9990,431.3173,586.6910,-376.8014,25.2099
340.0000,-101.7627,633.0416,457.6010,626.1946,-318.0398,74.7170
360.0000,-82.9608,672.1077,477.4587,644.8026,-279.5753,102.3766
380.0000,-142.9784,593.8901,413.4733,617.1005,-336.2190,44.5078
400.0000,-153.8051,610.0961,437.5887,635.9258,-301.3596,26.6144
420.0000,-90.1490,635.7992,485.3603,690.0295,-266.4045,86.3938
440.0000,-128.6350,598.2447,431.7089,634.0274,-306.2379,37.7039
460.0000,-137.3022,562.5773,430.2041,626.8833,-324.6958,29.1637
480.0000,-150.4405,563.3292,415.8412,651.1274,-303.9306,25.9062
500.0000,-111.4577,597.5040,449.0679,652.8227,-272.9047,56.0819
520.0000,-107.2629,604.4911,461.9941,685.2089,-270.8058,65.0325
540.0000,-127.6127,591.3905,441.9352,670.7452,-261.0708,43.9284
560.0000,-115.1746,607.6181,445.1205,686.2875,-244.5305,67.1797
580.0000,-122.7875,591.2550,443.8363,670.6534,-277.3136,36.7784
600.0000,-150.0336,565.7324,420.2080,651.3979,-296.3018,-1.6327
620.0000,-158.8737,557.0504,411.6803,650.5825,-296.5262,-5.1434
640.0000,-127.9706,574.0123,446.3464,686.4412,-252.0180,43.2394
660.0000,-87.9032,579.0042,477.6244,724.5475,-228.7266,66.6868
680.0000,-126.9074,570.1656,440.4246,693.5106,-248.8316,43.2566
700.0000,-125.9479,566.9053,428.5343,688.4942,-246.9299,26.6591
720.0000,-143.8999,537.2408,416.4973,684.5305,-253.6988,27.3337
740.0000,-123.0151,542.6848,440.4482,692.4617,-265.1218,52.7130
760.0000,-129.8929,542.3542,438.5768,689.5851,-272.4996,28.2155
780.0000,-123.0016,544.5560,448.3926,706.4561,-264.3090,62.7676
