t,1,2,3,4,5,6
0.0000,425.7421,857.1911,-1293.2688,587.4000,625.7004,-229.5947
20.0000,403.7514,834.4517,-1284.3123,575.3575,604.1144,-243.9045
40.0000,409.8654,797.4055,-1234.9705,582.2195,606.4194,-220.9979
60.0000,431.0911,796.1587,-1234.8584,589.3082,630.9093,-223.1160
80.0000,403.6794,821.2814,-1255.3751,578.2113,601.1723,-234.8726
100.0000,420.1074,825.7819,-1268.2026,590.8508,623.6530,-239.9254
120.0000,430.1771,813.8050,-1235.1956,586.5400,623.9246,-228.5286
140.0000,387.3702,858.9076,-1249.0391,555.3711,582.6687,-244.1702
160.0000,411.0569,847.8669,-1241.0537,580.0363,606.5632,-234.2339
180.0000,408.3964,860.1595,-1248.9667,575.3505,598.3436,-236.7394
200.0000,410.1529,840.3463,-1264.2496,568.2598,603.0931,-240.2861
220.0000,403.2793,855.9226,-1269.8387,583.4802,596.4267,-236.9432
240.0000,422.2318,835.3575,-1209.4634,568.0392,612.0255,-230.8553
260.0000,404.3093,815.5264,-1254.0155,577.6624,599.3812,-259.5476
280.0000,411.4880,843.8364,-1255.0892,608.5981,606.7955,-246.9660
300.0000,421.2413,859.3748,-1239.6548,566.5747,607.9349,-241.4327
320.0000,415.4067,840.7889,-1249.1365,551.1400,604.0219,-247.4022
340.0000,426.0518,830.1099,-1210.4552,563.2186,610.8921,-238.5341
360.0000,416.5506,864.7668,-1227.8489,571.9340,601.2211,-241.2949
380.0000,416.9828,806.3256,-1187.5784,537.1679,605.3147,-251.1597
400.0000,392.5349,788.4785,-1203.2623,589.8234,604.8087,-264.9708
420.0000,440.7264,810.3145,-1174.7220,587.9518,642.8714,-236.5653
440.0000,409.8287,791.2383,-1168.2073,552.6903,609.6495,-245.7458
460.0000,424.2655,740.4875,-1139.9572,564.7412,624.1047,-239.1569
480.0000,417.8263,752.1185,-1129.7770,549.7580,624.3566,-249.3447
500.0000,413.4964,769.9493,-1136.5968,564.4787,614.5722,-237.3745
520.0000,435.5543,781.2289,-1141.7056,571.5493,641.1041,-237.5515
540.0000,408.2583,762.9493,-1129.1508,567.3267,619.7090,-246.6084
560.0000,413.8352,788.7296,-1129.0549,554.3295,619.5041,-245.1661
580.0000,418.1383,771.1496,-1136.1329,562.3023,629.7010,-242.5491
600.0000,402.4535,747.1273,-1130.1515,557.8088,622.1780,-250.2272
620.0000,400.0678,739.1475,-1122.7291,554.2634,620.2816,-253.1034
640.0000,417.9957,733.6030,-1100.4338,575.1080,634.0582,-242.5183
660.0000,448.6942,730.0309,-1067.0973,576.8143,664.7807,-221.4521
680.0000,421.0843,736.6712,-1089.2589,562.2860,636.7274,-241.1162
700.0000,410.5077,742.6870,-1079.3940,542.4127,628.7622,-239.6599
