t,AF3,F7,F3,F4,F8,AF7
0.0000,-168.0662,536.7842,311.6396,678.6595,-296.0807,-973.1354
20.0000,-177.7274,522.0654,311.3360,676.3146,-294.7189,-936.6558
40.0000,-175.0339,514.8333,305.6777,680.7428,-304.1215,-952.1013
60.0000,-180.7262,507.0620,300.2881,672.2449,-306.7254,-986.7087
80.0000,-153.1319,503.8836,311.7264,673.6786,-279.0862,-959.0778
100.0000,-142.6903,531.0652,323.2351,685.2531,-246.6355,-924.6964
120.0000,-125.0872,531.9151,329.7859,683.6976,-280.1330,-931.0482
140.0000,-164.7042,488.9235,320.1928,670.2292,-287.5911,-949.7224
160.0000,-130.1158,508.0274,324.7961,683.7200,-264.2401,-929.0335
180.0000,-151.6391,530.9897,316.1726,679.1702,-250.5459,-950.7405
200.0000,-148.1036,536.0486,320.8488,680.8231,-255.2771,-937.0189
220.0000,-117.6558,536.9495,345.1622,684.1469,-227.4055,-910.7239
240.0000,-143.0520,539.0674,325.8764,680.8546,-240.3132,-953.0062
260.0000,-156.7043,536.9235,322.1162,674.1054,-268.4420,-968.7758
280.0000,-180.0285,530.1157,295.8977,670.8918,-297.4328,-991.0107
300.0000,-148.8110,557.9569,328.0884,687.0825,-256.3323,-948.7892
320.0000,-143.9819,535.0297,329.9397,687.9224,-229.4495,-935.9740
340.0000,-121.8153,564.8817,319.0580,682.0369,-258.2435,-943.8037
360.0000,-125.9226,554.0544,322.9428,677.9738,-271.5526,-962.9701
380.0000,-127.9151,515.8375,325.0500,681.9862,-288.1223,-957.8241
400.0000,-156.8155,497.1289,317.9603,671.0446,-302.7256,-958.9443
420.0000,-176.9699,497.8902,308.0342,676.9285,-324.0118,-979.8619
440.0000,-173.7145,505.1490,318.9802,677.0457,-294.8036,-956.9123
460.0000,-140.0641,531.8555,323.0128,672.9053,-235.9032,-908.8597
480.0000,-181.6563,481.1074,311.9680,671.1594,-306.9232,-942.8749
500.0000,-230.1664,474.8134,286.0253,659.8260,-329.8425,-989.9235
520.0000,-219.5461,485.0478,282.9507,663.2017,-304.9983,-1002.8605
540.0000,-224.3613,494.9160,301.0112,667.7829,-279.7366,-988.9719
560.0000,-206.4404,506.0884,311.9663,677.2294,-290.0409,-971.7932
580.0000,-239.4861,491.9359,288.0244,649.6966,-319.6561,-1011.0382
600.0000,-242.2882,485.0276,284.9599,646.3457,-337.1343,-1022.7511
620.0000,-256.6378,482.8580,274.0289,644.6309,-333.6232,-1025.1161
640.0000,-221.1094,554.0286,297.9394,667.3586,-272.1371,-999.6711
660.0000,-187.8269,570.9034,315.0454,672.5906,-269.5099,-970.1727
680.0000,-186.9518,590.0100,316.9233,665.4417,-271.1902,-962.5724
700.0000,-176.9371,594.0007,313.0733,666.4894,-269.4617,-962.2534
720.0000,-199.7491,594.0620,301.9144,639.4667,-282.2626,-967.4859
740.0000,-202.1584,595.9282,299.0894,638.4029,-309.5349,-989.3696
760.0000,-185.5782,596.0845,315.9005,645.5710,-276.2581,-951.3668
780.0000,-182.3504,620.9311,334.0990,648.3394,-268.5227,-967.4756
800.0000,-152.3011,667.0027,330.8665,652.6138,-245.2903,-942.2495
820.0000,-158.5146,625.0125,328.1528,653.2847,-246.4566,-934.5751
840.0000,-186.1824,618.0794,316.8365,641.7235,-251.3026,-957.1283
860.0000,-186.7704,647.9820,328.1790,648.2302,-245.4680,-951.7194
880.0000,-173.9112,666.9959,332.8362,645.7375,-211.2815,-922.9747
900.0000,-168.9694,653.9677,337.1846,649.2179,-212.5156,-901.8329
920.0000,-167.7861,644.9811,331.7955,639.7380,-228.1975,-925.8448
940.0000,-180.1241,694.0374,333.2285,647.1957,-251.5447,-943.9928
960.0000,-173.5264,720.0920,332.7769,651.8555,-253.2112,-930.7080
