t,1,2,3,4,5,6
0.0000,2385.0344,-324.9879,2130.8667,204.8177,-120.2335,38.8335
20.0000,2372.7122,-321.7624,2127.0488,194.2650,-119.7400,39.1053
40.0000,2385.8059,-327.7883,2142.0088,202.6276,-112.8385,34.3376
60.0000,2364.8862,-328.6517,2106.6953,198.9664,-114.1219,32.2382
80.0000,2356.2625,-303.1713,2093.5649,196.1318,-103.3816,45.4361
100.0000,2393.7502,-281.6327,2127.9985,182.2663,-111.4180,55.2053
120.0000,2375.9302,-307.1703,2132.8782,222.5624,-98.9558,54.4677
140.0000,2341.6687,-306.9863,2077.9924,191.8444,-103.3837,49.9405
160.0000,2375.6855,-289.7656,2118.1504,201.7240,-94.0066,55.6401
180.0000,2382.4827,-285.6862,2108.4458,178.7530,-116.4169,50.6828
200.0000,2383.7815,-290.1800,2118.9780,186.1583,-115.7945,52.1825
220.0000,2378.6892,-264.1691,2104.6763,185.7563,-105.7386,73.1801
240.0000,2386.5786,-277.8148,2104.6448,177.9784,-117.0987,58.3207
260.0000,2368.1589,-301.1856,2095.4734,190.4565,-120.4246,51.3490
280.0000,2368.9758,-326.5165,2109.7480,196.0161,-124.2437,29.6871
300.0000,2409.3533,-295.1502,2141.8425,190.2261,-123.7301,54.4186
320.0000,2407.0059,-267.9948,2122.2600,167.8022,-116.0472,62.0329
340.0000,2385.1196,-297.2759,2134.6062,213.0046,-113.2141,49.7625
360.0000,2370.9541,-305.4175,2115.7959,218.7087,-110.4380,51.1587
380.0000,2371.2634,-310.3185,2119.9465,224.0098,-93.1364,51.7338
400.0000,2342.3372,-320.5793,2090.3162,211.4327,-100.1834,45.7095
420.0000,2370.5515,-339.7640,2122.9766,214.1741,-105.5054,34.2817
440.0000,2370.8530,-316.9463,2110.7202,194.0009,-111.5726,45.6154
460.0000,2353.1724,-273.3137,2087.2949,175.6353,-114.7782,58.1034
480.0000,2346.6836,-322.7402,2096.0522,193.9809,-105.1112,40.7933
500.0000,2336.3323,-344.7191,2076.3342,175.9354,-124.7188,20.2990
520.0000,2352.2070,-326.2313,2076.7234,165.2206,-126.1347,22.4683
540.0000,2369.7375,-306.9931,2075.6436,142.6491,-136.1948,36.6277
560.0000,2388.9307,-315.8473,2112.6150,166.2298,-128.5526,40.4989
580.0000,2316.3594,-340.6039,2039.8700,163.5715,-140.2900,23.0409
600.0000,2304.4580,-353.5342,2033.7860,174.5062,-137.0855,18.9060
620.0000,2307.2566,-352.0230,2033.1932,160.8520,-143.5634,12.2936
640.0000,2384.8396,-313.8676,2096.2183,149.3096,-158.9082,32.0776
660.0000,2385.1487,-312.2214,2113.6458,174.6043,-149.0651,42.7490
680.0000,2364.8545,-317.7950,2100.9648,180.0169,-157.6780,42.8893
700.0000,2366.2461,-316.9128,2107.0239,186.7378,-153.9752,40.8954
720.0000,2290.0083,-329.9433,2034.0775,180.4564,-169.1850,33.3366
740.0000,2287.1040,-352.5461,2041.3848,201.1721,-167.3593,26.9017
760.0000,2300.2095,-323.6106,2045.7802,186.2579,-163.2024,42.8765
780.0000,2313.8015,-320.9821,2045.5079,186.3381,-173.2404,53.9982
800.0000,2327.6301,-310.9324,2075.0723,197.8918,-178.3294,53.4188
820.0000,2321.3130,-303.2693,2063.0500,186.9127,-164.3280,54.0864
840.0000,2298.4761,-308.2476,2028.5154,169.2599,-176.8161,46.7678
860.0000,2324.5337,-309.2946,2054.4158,169.2793,-188.9522,51.9141
880.0000,2316.8555,-285.0213,2041.4487,154.3143,-195.7077,60.0018
900.0000,2318.6423,-282.6730,2049.9722,156.7476,-187.2626,63.0156
920.0000,2287.7754,-293.5309,2019.9536,168.6843,-182.8858,58.9579
940.0000,2326.4968,-323.6992,2073.5491,187.2995,-203.4250,50.9227
960.0000,2342.8350,-330.5349,2104.8147,198.2756,-208.9134,48.0465
980.0000,2327.1934,-331.6108,2106.1145,216.9982,-206.6405,49.6946
1000.0000,2322.9009,-349.3923,2098.0854,207.4807,-212.1438,34.6807
1020.0000,2348.2124,-349.1804,2117.0127,202.8138,-214.8273,37.7245
1040.0000,2334.0122,-324.3864,2091.1101,190.8281,-208.3388,47.9694
1060.0000,2333.1165,-319.9980,2086.8447,199.8552,-188.0393,53.2627
1080.0000,2366.5767,-333.8826,2137.7668,220.0689,-185.2372,46.7391
1100.0000,2310.5652,-357.0015,2077.7344,209.8871,-201.9012,33.2919
1120.0000,2350.1475,-352.4561,2120.8086,218.1707,-182.7813,37.8430
1140.0000,2377.6277,-332.2831,2137.3762,202.9765,-182.0170,45.9915
1160.0000,2353.1113,-334.4157,2105.4680,195.3841,-195.1456,48.6109
1180.0000,2362.4314,-341.5385,2110.6787,192.6532,-199.4120,45.3199
1200.0000,2347.7361,-356.4258,2114.4949,220.1684,-190.0775,51.0879
1220.0000,2346.5454,-355.5187,2121.2097,210.7551,-213.6856,41.7031
1240.0000,2347.2639,-356.5497,2119.5188,202.1330,-230.8739,32.1408
1260.0000,2377.4219,-368.8557,2151.2222,204.1762,-225.8987,25.3807
1280.0000,2389.8940,-339.1642,2143.9990,178.8537,-232.7891,36.3502
1300.0000,2393.3320,-330.8867,2151.2246,184.6942,-237.0261,40.8738
1320.0000,2415.6057,-333.1565,2183.6787,204.5413,-224.2102,45.4094
1340.0000,2386.3789,-317.1411,2153.6641,199.7678,-223.2781,55.8048
1360.0000,2391.6877,-322.4789,2157.2939,204.3544,-228.1083,57.4360
1380.0000,2385.0132,-333.1474,2166.4346,220.8864,-217.1949,46.5707
1400.0000,2355.6724,-345.4542,2125.0317,203.7676,-230.5962,46.2079
1420.0000,2374.7024,-335.4464,2154.2839,216.0804,-223.0421,48.5398
1440.0000,2354.8157,-354.5008,2129.0725,210.2534,-235.7599,39.9107
1460.0000,2385.2434,-338.6538,2161.1057,214.5057,-223.4624,44.6361
1480.0000,2402.9758,-334.3335,2184.0801,204.2863,-227.0450,49.5326
1500.0000,2369.3323,-333.1617,2158.5144,217.2796,-205.1492,44.0929
1520.0000,2372.2122,-359.2253,2149.6294,216.3894,-205.5116,31.4809
1540.0000,2381.7161,-342.1592,2151.4414,206.2465,-201.5060,45.1736
1560.0000,2404.4360,-338.2930,2168.7502,199.0947,-195.5505,38.3237
1580.0000,2396.4136,-351.8816,2166.8916,211.9778,-194.1035,40.4767
1600.0000,2381.6433,-350.3532,2150.4487,215.6767,-182.5463,38.8197
1620.0000,2347.2251,-344.8964,2104.9287,200.4758,-173.4711,35.2445
1640.0000,2353.3069,-373.4553,2123.7236,219.6594,-172.4819,29.6189
1660.0000,2357.1516,-367.7435,2130.0366,212.0780,-176.2351,19.9434
1680.0000,2372.7537,-339.6172,2137.9199,201.7808,-171.3440,31.0358
1700.0000,2378.0078,-328.7985,2133.6899,189.8843,-170.5973,36.4876
1720.0000,2382.8647,-325.7102,2152.5439,209.4718,-157.4927,41.2727
1740.0000,2385.5618,-331.5411,2148.8699,209.3136,-154.4751,42.7664
1760.0000,2367.6890,-337.6941,2125.0391,191.4241,-154.5351,29.1863
1780.0000,2384.9692,-334.7224,2138.8909,180.7683,-159.3536,29.1734
1800.0000,2389.2385,-327.5073,2135.5740,174.5632,-158.7785,29.3970
1820.0000,2399.6609,-353.7539,2163.7188,195.1997,-166.3068,29.4226
1840.0000,2361.7305,-332.2632,2119.2739,186.1707,-162.0059,34.3173
1860.0000,2370.9023,-348.2294,2132.4155,192.5993,-163.0010,26.5687
1880.0000,2301.4138,-380.0879,2064.6416,198.6152,-165.4016,15.0730
1900.0000,2330.2439,-383.6602,2080.5676,190.9026,-167.2367,10.9509
1920.0000,2361.2041,-345.8969,2105.4138,172.6598,-162.6301,24.9280
1940.0000,2341.4778,-359.6337,2095.4731,200.8457,-156.0644,34.0334
1960.0000,2354.9094,-337.2476,2107.0007,211.6370,-138.2328,57.3292
1980.0000,2330.8091,-348.0085,2098.7607,216.7976,-146.1489,46.5731
2000.0000,2317.1426,-357.4445,2095.2976,226.6709,-146.7607,44.9247
2020.0000,2261.9766,-342.5087,2030.2124,212.8330,-153.1471,47.6195
2040.0000,2272.4329,-348.6934,2040.6875,214.7641,-155.4122,40.7163
2060.0000,2263.7319,-345.1133,2018.4705,203.7931,-157.6652,45.4254
2080.0000,2290.7861,-363.9322,2074.5527,226.0012,-158.0018,32.6574
2100.0000,2288.9709,-350.6137,2048.9272,201.1908,-156.5204,37.1445
2120.0000,2323.2061,-340.7161,2075.2822,191.9081,-163.9567,37.5462
