t,AF3,F7,F3,F4,F8,AF7
0.0000,-560.9379,497.6502,420.8043,686.4504,-356.5124,835.5815
20.0000,-564.9707,500.4670,423.0775,679.5431,-389.0002,822.5118
40.0000,-546.9537,514.5349,424.9141,692.3968,-389.7318,823.4530
60.0000,-539.9861,497.5582,423.0601,684.5812,-379.9098,824.4246
80.0000,-516.9410,512.3812,422.8268,688.3649,-349.7143,840.5270
100.0000,-503.9497,524.6301,425.1448,690.6263,-335.7408,869.6460
120.0000,-500.9570,512.2882,431.8559,688.3336,-350.9070,861.2700
140.0000,-487.8751,524.7126,424.0663,692.6688,-325.5659,893.6298
160.0000,-480.0694,520.2632,422.8786,688.3056,-352.0797,869.3528
180.0000,-479.8558,517.8312,422.0483,688.6693,-379.6448,867.7734
200.0000,-464.0950,532.1261,419.9878,691.2993,-358.9486,901.1254
220.0000,-437.7537,530.8842,420.9608,695.7118,-359.3968,897.8853
240.0000,-448.1320,494.1004,420.9590,686.2725,-377.2087,887.1496
260.0000,-424.6432,521.9246,423.9645,690.7310,-384.3340,892.0483
280.0000,-438.2104,498.0037,422.0501,687.2269,-393.2618,863.9875
300.0000,-420.6299,513.9903,421.9365,688.7375,-387.3598,870.0766
320.0000,-398.2557,552.9882,423.0268,691.2358,-347.2601,872.8923
340.0000,-399.5327,518.0595,414.8772,682.7718,-387.3375,860.1523
360.0000,-411.3802,518.9624,428.0979,684.2062,-387.1737,857.9092
380.0000,-399.4501,497.0566,420.7974,683.7875,-373.2934,857.1619
400.0000,-386.4199,513.9643,424.1676,691.2166,-372.2652,862.7419
420.0000,-386.3211,497.0611,424.8454,688.7681,-366.2874,850.2809
440.0000,-362.5204,516.9567,426.2001,693.1955,-339.1581,870.6351
460.0000,-354.2627,500.0630,426.7886,688.7703,-392.3893,836.2471
480.0000,-364.6252,519.9711,423.2035,686.2074,-380.1206,854.6566
500.0000,-354.1787,512.0524,423.7049,683.7922,-385.4145,836.2850
520.0000,-349.6612,499.9179,418.3340,681.2084,-413.1813,814.5865
540.0000,-356.0977,487.9840,422.6095,686.7738,-398.3994,815.2875
560.0000,-350.8046,497.0302,427.3814,685.2194,-395.1515,804.5396
580.0000,-325.9626,512.9154,426.6627,684.7451,-359.4385,814.3013
600.0000,-326.9019,485.0738,428.3556,686.2446,-365.0487,816.5648
620.0000,-340.9261,465.8883,427.5612,682.7399,-388.6808,815.3332
640.0000,-334.9694,450.1191,430.3818,680.2548,-384.0320,802.4656
660.0000,-304.7464,488.8279,430.5642,687.7206,-345.5802,830.4529
680.0000,-289.0845,491.2320,423.3972,690.2905,-347.7703,836.5718
700.0000,-291.6865,485.7324,431.4707,690.6813,-336.6939,843.5104
720.0000,-293.1191,471.3300,430.4408,691.3308,-355.7721,837.6165
740.0000,-306.5695,469.5909,427.4712,691.6521,-356.9575,811.4306
760.0000,-281.2118,490.3988,423.4447,692.3469,-332.6534,837.6375
780.0000,-283.5307,491.5498,433.5348,688.5922,-343.0348,815.2845
800.0000,-276.2998,486.4774,426.5010,686.4048,-339.5649,804.5804
820.0000,-282.4043,483.3798,433.5219,687.5746,-342.0434,809.3289
840.0000,-261.3952,485.6418,421.4815,689.4383,-345.3693,806.6619
860.0000,-245.3706,495.2826,424.5116,682.5245,-355.0942,789.2682
880.0000,-227.4841,503.7010,428.5018,682.4984,-357.3158,808.7498
900.0000,-239.2571,459.1971,422.4069,680.4621,-391.3811,784.3193
920.0000,-258.5560,458.8205,427.5626,677.5454,-398.1863,755.7105
940.0000,-249.1815,469.0480,419.4891,681.4160,-407.5013,750.1525
960.0000,-245.5660,474.9840,425.5648,681.5974,-379.0006,759.8599
980.0000,-229.1562,494.9462,423.4770,684.3527,-342.5057,780.1053
1000.0000,-226.6159,478.0167,426.4831,692.6344,-349.9581,770.9489
1020.0000,-216.0610,483.8465,426.5414,683.3214,-323.5436,776.9766
1040.0000,-221.6622,456.1522,425.5222,681.7058,-353.7929,772.8561
1060.0000,-213.0551,465.6986,428.5561,685.2472,-327.8223,780.9834
1080.0000,-188.6624,491.2984,426.4290,684.7562,-314.6508,782.9440
1100.0000,-184.0493,494.6034,430.5771,690.1943,-313.9023,783.9648
1120.0000,-180.7065,506.4258,424.4044,689.8149,-311.6979,782.2055
1140.0000,-180.0123,496.5588,425.5862,689.1327,-333.9486,772.8580
1160.0000,-165.7312,515.5410,422.3771,694.8759,-329.5749,782.2875
1180.0000,-177.0299,501.4445,421.6531,683.0964,-336.0161,769.7164
1200.0000,-194.7213,495.6275,420.3416,685.9282,-318.5358,761.3289
1220.0000,-173.0099,524.3661,426.7301,688.0163,-307.1577,784.5486
1240.0000,-193.6658,494.6768,423.2154,683.9670,-329.4287,758.3362
1260.0000,-190.0164,490.2984,423.7419,683.9669,-319.2772,765.4829
1280.0000,-179.6269,484.7062,426.2011,686.0306,-318.3914,771.4866
1300.0000,-169.1148,496.2352,422.7468,684.9257,-320.2249,779.4989
1320.0000,-169.6045,493.7841,420.1778,685.0711,-323.1537,768.4942
1340.0000,-181.1529,493.1790,422.8060,682.8961,-342.4238,745.3201
1360.0000,-165.6114,504.8244,421.0525,683.1309,-322.2206,758.5646
1380.0000,-165.1792,495.1075,417.9542,688.8345,-327.3542,750.3516
1400.0000,-170.5472,490.8784,428.0084,683.1743,-334.2238,747.6161
1420.0000,-159.1983,511.0396,423.9830,690.8077,-305.4778,773.3584
1440.0000,-158.4824,500.9558,431.9231,685.1968,-319.0500,751.7703
1460.0000,-181.3390,480.0062,424.0446,687.7473,-340.3798,746.1262
1480.0000,-154.3785,493.0052,422.8549,682.2451,-334.1363,753.8807
1500.0000,-181.4203,467.9567,423.0543,680.7228,-358.6122,712.1558
1520.0000,-170.3130,485.9960,422.7908,681.2743,-343.9630,718.8241
1540.0000,-164.4345,472.9928,423.1161,684.6870,-344.6227,732.1021
1560.0000,-162.1645,487.0471,420.7424,681.3056,-331.8681,736.8649
1580.0000,-154.5508,496.9199,426.2172,685.6617,-321.6486,746.9380
1600.0000,-159.0791,490.0741,428.7548,685.3337,-324.8130,744.0858
1620.0000,-149.6630,511.9210,424.2851,682.6417,-307.6595,747.8886
1640.0000,-155.9913,499.1041,423.6697,686.3681,-314.9133,740.0706
1660.0000,-144.7795,514.9061,424.3410,692.5945,-287.7441,753.9506
1680.0000,-155.8764,486.0785,425.6034,685.3869,-315.7536,738.0967
1700.0000,-150.9412,513.8575,422.4024,686.5900,-297.6334,734.6843
1720.0000,-118.7114,543.1033,420.5269,687.4223,-273.8329,760.2320
1740.0000,-145.0334,531.8637,428.4136,690.5654,-296.8137,749.7153
1760.0000,-159.5697,488.1039,422.4722,686.4396,-320.6984,741.3212
1780.0000,-151.2191,479.8050,422.4875,683.5212,-317.9202,745.5448
1800.0000,-174.4881,511.1460,421.4956,691.4698,-319.7497,739.3681
1820.0000,-161.3524,518.8248,423.4635,684.5028,-348.9093,730.5387
1840.0000,-151.3174,542.2514,422.3990,688.4717,-306.5201,760.4930
1860.0000,-158.4439,534.7502,419.5189,685.4877,-302.9486,753.5244
1880.0000,-190.2342,488.2072,423.4230,690.5056,-352.4822,743.6257
1900.0000,-182.6728,510.6783,423.5181,683.4545,-334.1627,747.3041
1920.0000,-186.0534,542.3451,422.3503,681.5253,-332.4313,750.6710
1940.0000,-196.7682,518.6823,422.5970,686.4539,-319.1347,749.2441
1960.0000,-186.8575,516.3969,422.3368,684.5353,-330.3596,745.6729
1980.0000,-202.9709,516.5695,422.6078,686.4364,-330.1943,745.0569
2000.0000,-212.7210,519.4443,423.3831,686.5654,-318.2111,731.8863
2020.0000,-214.1603,509.5592,425.6550,680.4091,-323.2847,725.9562
2040.0000,-216.5901,495.4728,427.3550,688.5654,-335.1913,726.8871
2060.0000,-217.2940,494.4797,421.5618,683.3855,-355.4136,722.9913
2080.0000,-204.4431,514.5096,423.3835,685.5856,-337.9160,735.1619
2100.0000,-172.4270,545.4165,424.5927,688.3793,-320.6833,767.8201
