t,1,2,3,4,5,6
0.0000,225.4170,-568.8536,-351.0454,219.0647,95.0484,476.6984
20.0000,213.1757,-573.4705,-363.9026,227.8671,98.2495,471.9221
40.0000,211.3901,-572.2438,-371.0286,232.1451,96.5922,479.8799
60.0000,220.1919,-559.9437,-361.0703,219.5982,96.6364,475.9427
80.0000,222.8000,-557.9816,-354.6388,231.1411,96.2638,477.0602
100.0000,229.7543,-559.7737,-353.3117,242.7904,97.6370,477.6825
120.0000,231.8403,-553.4620,-355.1400,234.5740,101.4383,478.1983
140.0000,242.1586,-552.0499,-350.2045,240.0997,96.3911,479.1035
160.0000,232.2871,-545.8072,-359.5094,237.0794,96.4621,476.5612
180.0000,231.6697,-543.5363,-370.2664,233.2190,95.6375,477.1552
200.0000,240.1273,-543.9448,-367.2614,244.5376,94.4614,477.3344
220.0000,243.2426,-531.0209,-368.7527,238.6229,93.6398,480.9099
240.0000,255.6196,-515.4598,-363.1205,208.2441,94.1423,478.1185
260.0000,243.5959,-521.1465,-375.8925,233.2906,96.0460,478.9195
280.0000,243.9215,-513.2385,-371.3752,210.9427,94.6320,478.6555
300.0000,238.9405,-514.3919,-374.7267,225.2329,94.9333,478.1502
320.0000,221.3621,-527.5204,-371.1763,263.5263,97.0275,475.8780
340.0000,232.0159,-505.8759,-376.3738,229.1858,92.4476,472.9096
360.0000,229.4551,-515.6856,-375.3937,236.2535,99.9536,475.1582
380.0000,244.5163,-495.6293,-363.9885,209.9918,94.5849,476.3867
400.0000,240.3214,-499.5522,-370.1074,222.5317,95.4374,480.3338
420.0000,244.9008,-490.4076,-362.1122,207.4274,95.6033,480.4025
440.0000,246.1780,-491.3848,-358.4986,224.3781,96.2449,481.6449
460.0000,238.0659,-477.8770,-374.9456,208.7619,96.6032,480.7170
480.0000,232.5532,-493.4768,-375.3413,230.5188,96.3424,476.2841
500.0000,229.3683,-484.6283,-375.1408,223.6057,96.7711,475.5634
520.0000,225.8850,-473.8387,-383.0755,209.4261,93.5231,474.6147
540.0000,235.8602,-470.6398,-373.6716,195.6858,94.0317,480.1179
560.0000,225.6508,-475.2762,-374.6979,208.2411,97.7120,478.5981
580.0000,223.8063,-473.6691,-365.7597,223.9216,98.2441,476.5169
600.0000,241.7946,-458.1951,-359.7488,194.8616,97.3305,480.7162
620.0000,249.1342,-453.2702,-362.6520,177.7596,96.7491,480.1978
640.0000,253.0689,-442.7904,-355.6311,164.5014,98.1995,480.4117
660.0000,248.4486,-451.1382,-353.8401,197.7902,98.3652,481.6890
680.0000,251.9861,-442.8085,-357.0058,193.7345,93.5017,482.6281
700.0000,258.3011,-443.4341,-350.1758,192.1992,97.8955,484.2764
720.0000,263.7497,-435.0272,-353.8072,175.9736,96.2847,486.2363
740.0000,253.4093,-439.1684,-353.4558,173.1680,94.4687,486.1829
760.0000,255.2647,-438.7491,-351.1533,191.1664,92.9553,484.1473
780.0000,242.5420,-444.0223,-354.3912,200.0195,99.9116,482.4862
800.0000,241.5792,-436.0148,-351.8690,192.5995,96.0632,480.7371
820.0000,244.8363,-438.9539,-351.4028,192.3105,99.7338,482.6206
840.0000,245.2334,-426.7077,-355.4354,185.8489,92.1575,482.5882
860.0000,229.9077,-426.8476,-361.7236,201.2953,96.1371,477.1955
880.0000,233.6357,-424.8078,-365.6452,210.8587,98.7962,476.9165
900.0000,247.4438,-402.2339,-365.8781,163.4372,93.3237,479.5754
920.0000,232.7005,-412.7070,-366.9534,168.7688,97.2128,477.9561
940.0000,226.4069,-411.1916,-375.4145,171.4903,91.9180,478.8688
960.0000,228.4335,-415.3191,-365.2109,180.9371,95.8370,478.8983
980.0000,229.1729,-418.9870,-357.4357,198.2447,94.9870,478.4576
1000.0000,238.6922,-407.7209,-356.5583,175.4936,93.6310,486.4687
1020.0000,236.1935,-408.0746,-346.4256,188.7191,96.4539,479.2179
1040.0000,248.5562,-393.9835,-350.1374,160.5777,94.7097,481.0129
1060.0000,249.5092,-396.4899,-342.9959,169.2592,96.1163,482.7618
1080.0000,237.2511,-399.9154,-346.3571,193.7267,96.2664,479.6213
1100.0000,237.9959,-400.2920,-347.7801,194.6883,97.4238,483.6008
1120.0000,230.6797,-403.7931,-350.9441,203.9503,94.5261,481.4325
1140.0000,231.2515,-397.8842,-356.9782,194.2893,94.7816,482.2486
1160.0000,227.3685,-400.6696,-362.5966,207.0519,92.3306,484.0675
1180.0000,224.8835,-398.9539,-358.7720,201.8089,94.2947,477.0792
1200.0000,225.9915,-403.0828,-349.6031,194.4678,92.6622,479.2779
1220.0000,220.6724,-411.7512,-354.3631,224.5928,97.2920,478.5690
1240.0000,223.8021,-403.0530,-353.3491,196.0860,94.7626,478.3777
1260.0000,230.2307,-399.1862,-347.9591,191.8777,94.8480,478.8720
1280.0000,237.5967,-391.7372,-346.4810,185.1219,95.3809,481.2750
1300.0000,234.2584,-392.6892,-351.2226,195.4810,94.1817,479.0190
1320.0000,231.2848,-390.6479,-351.8626,191.4884,92.5054,479.1004
1340.0000,219.1660,-396.3741,-358.6209,194.0108,94.6004,477.9052
1360.0000,220.0353,-395.8215,-354.6050,204.5108,94.1063,476.6800
1380.0000,224.8490,-388.1723,-354.8913,188.3732,90.2550,481.4183
1400.0000,222.5873,-391.9708,-354.6601,193.5168,97.4185,478.9503
1420.0000,226.6878,-396.6091,-350.8222,206.4635,94.1604,481.7359
1440.0000,220.5358,-393.5405,-351.9757,203.8642,99.7058,479.7580
1460.0000,229.5286,-388.5738,-354.4541,177.3603,93.3565,482.8372
1480.0000,224.9859,-384.4070,-356.1468,192.8991,94.6445,477.6563
1500.0000,219.1744,-382.0890,-357.2979,169.3179,93.9253,479.1045
1520.0000,212.8439,-387.5854,-357.2603,187.0089,94.5770,477.5810
1540.0000,227.9292,-376.9834,-354.3610,170.8121,93.1233,481.4645
1560.0000,221.0107,-384.0263,-353.0840,186.9145,93.4053,477.2874
1580.0000,221.7067,-387.5507,-352.4543,196.2064,95.9885,479.9346
1600.0000,223.9035,-386.4250,-351.2799,190.8585,97.2141,480.6755
1620.0000,213.0530,-394.0776,-351.0820,213.0653,96.4769,475.9707
1640.0000,218.3291,-388.7014,-350.5560,196.8698,94.4685,479.8643
1660.0000,219.3061,-392.5455,-345.4950,208.6418,94.1045,482.6175
1680.0000,224.9101,-381.8408,-346.6904,185.1312,95.1581,480.7541
1700.0000,208.7404,-394.8378,-348.2037,211.3243,94.5010,478.2609
1720.0000,205.5918,-396.8462,-348.8062,238.5132,94.6206,475.7299
1740.0000,205.6060,-403.8919,-353.7442,229.4637,97.9043,479.8929
1760.0000,225.0269,-383.4650,-349.5724,184.9950,93.1553,480.9482
1780.0000,231.4090,-375.3380,-345.8182,178.2739,93.4378,479.8204
1800.0000,211.2298,-402.5537,-356.3625,205.3039,92.6024,481.8372
1820.0000,199.2262,-402.1912,-370.0302,218.0197,95.8003,476.6055
1840.0000,202.1078,-410.9667,-360.7323,239.0480,95.4753,476.6902
1860.0000,202.4991,-409.4365,-356.4416,232.7187,94.2316,474.9667
1880.0000,223.2714,-396.5627,-362.0217,183.6312,92.7195,483.8522
1900.0000,209.8740,-407.4683,-360.4693,212.2482,95.8529,476.4755
1920.0000,191.0753,-427.2520,-368.9604,246.0497,97.4000,471.6223
1940.0000,206.9143,-418.0058,-356.6363,218.9680,95.1059,477.4413
1960.0000,206.1539,-412.2162,-360.7019,217.0647,95.2274,476.4481
1980.0000,205.3592,-419.4151,-360.3004,216.9251,95.0021,477.6629
2000.0000,198.2610,-425.9399,-355.7818,221.0002,95.6996,477.3614
2020.0000,198.8259,-422.3669,-353.7259,216.6513,98.1092,474.3109
2040.0000,210.0955,-414.4999,-355.4210,196.5433,96.1783,481.7913
2060.0000,206.0891,-412.8288,-363.0390,196.2358,94.0109,477.7235
2080.0000,201.6250,-419.1448,-362.6109,215.7087,95.5560,477.3856
2100.0000,200.5451,-422.7731,-366.5074,244.5015,97.0288,476.4483
2120.0000,203.3921,-415.9012,-368.8413,241.4672,97.6477,475.8293
2140.0000,194.5972,-419.5594,-377.1378,242.5245,97.7355,477.6726
2160.0000,192.3924,-423.5040,-378.7480,276.7253,97.6193,473.8688
2180.0000,199.2088,-416.9993,-376.5279,262.3229,98.0156,477.5597
2200.0000,201.5297,-415.0604,-369.8120,263.7313,98.9096,478.4652
2220.0000,204.7771,-418.7193,-372.8395,273.2070,98.7705,472.3834
2240.0000,181.9564,-431.9723,-380.6479,294.8131,99.1888,472.1818
2260.0000,197.0220,-419.9244,-378.5437,269.5746,99.0075,471.5009
2280.0000,205.3465,-423.4494,-360.6335,277.5580,98.3877,473.8579
2300.0000,209.8712,-412.7833,-371.9037,252.1431,90.2577,477.9013
2320.0000,212.1375,-419.2697,-363.5844,249.7299,99.9468,476.8945
2340.0000,212.5795,-414.0395,-367.9608,245.2364,97.5523,477.9903
2360.0000,208.4526,-429.6591,-364.8185,272.4504,99.2959,474.7362
2380.0000,212.9465,-411.8640,-365.7996,231.7113,97.5284,477.4478
2400.0000,216.6762,-411.1495,-372.8406,216.8101,94.6898,480.0260
2420.0000,207.3939,-420.1096,-370.4756,242.3152,97.9696,474.9877
2440.0000,209.6628,-414.6613,-372.0574,230.0319,96.1496,474.7417
2460.0000,231.4766,-411.2243,-354.6089,211.3474,92.9406,482.5877
2480.0000,228.2239,-400.1554,-363.0616,201.3866,95.9543,475.9418
2500.0000,236.5953,-405.4671,-359.8672,196.1460,93.6259,483.2930
2520.0000,236.5056,-397.2639,-361.4345,193.1867,92.7484,479.4289
2540.0000,234.6674,-407.1423,-354.3754,215.0469,92.4298,478.6393
2560.0000,236.6008,-402.1108,-349.8362,190.0034,92.2856,477.4269
2580.0000,210.0297,-420.4608,-366.0363,235.4923,94.3507,474.0596
2600.0000,227.1678,-406.4259,-361.0512,203.8667,94.7571,477.9551
2620.0000,214.1692,-418.0785,-358.5907,229.1523,95.5878,473.7390
2640.0000,221.6761,-414.6871,-364.1565,214.3340,98.7430,474.3979
2660.0000,221.6960,-422.0151,-363.0102,243.3961,98.3194,480.5356
2680.0000,222.2946,-417.1723,-363.5540,217.6783,90.8144,477.8978
2700.0000,229.3173,-414.5031,-358.9018,220.3937,95.7059,476.2881
2720.0000,219.3507,-422.7216,-365.6007,246.3739,95.4767,477.9743
