t,AF3,F7,F3,F4,F8,AF7
0.0000,-313.3723,433.7980,583.4380,716.5306,-437.4675,-222.6603
20.0000,-319.2061,431.0479,582.4879,728.2963,-422.0606,-209.9146
40.0000,-300.3029,447.0476,586.5106,738.7772,-394.2566,-207.3777
60.0000,-297.5907,448.9791,585.4639,736.9165,-397.4066,-206.0038
80.0000,-303.9692,436.2520,583.5301,754.1919,-432.9759,-209.3106
100.0000,-346.8282,414.5486,578.4241,724.6790,-454.7539,-272.4668
120.0000,-290.5696,437.4332,586.5934,743.5642,-437.6061,-214.9037
140.0000,-301.1784,435.3696,578.3835,753.3609,-414.2582,-219.7131
160.0000,-305.3869,420.7756,589.6013,725.8801,-430.1698,-236.6169
180.0000,-317.4199,435.0258,579.3563,705.8178,-425.5665,-255.0311
200.0000,-313.0387,424.1120,580.6708,700.2260,-454.7262,-263.3126
220.0000,-288.8697,428.6852,595.3430,746.3300,-450.0768,-250.4178
240.0000,-263.3975,438.5153,581.7061,778.9207,-410.2202,-217.6642
260.0000,-258.3100,431.2372,588.2628,750.8832,-401.5076,-218.9893
280.0000,-295.1092,438.0365,579.7135,713.2874,-429.7307,-284.2578
300.0000,-343.8604,393.8402,586.2819,669.4204,-493.9315,-348.5468
320.0000,-271.3581,465.3686,583.7056,731.8653,-445.3547,-286.8074
340.0000,-267.4021,433.2548,581.2348,754.9104,-442.4471,-275.9020
360.0000,-249.8855,457.8477,578.7272,759.3711,-423.7459,-260.3013
380.0000,-278.0903,420.7929,580.2763,708.4027,-469.9768,-306.5773
400.0000,-296.4102,429.4916,580.7454,709.8240,-432.3012,-306.7023
420.0000,-361.6645,365.1696,580.2751,673.7789,-509.5414,-390.1223
440.0000,-315.8184,405.0345,581.7484,675.3356,-502.8765,-376.2854
460.0000,-299.2982,433.6612,586.2756,707.3276,-461.0085,-317.5141
480.0000,-307.1535,417.5499,575.6915,704.9246,-444.2448,-333.5685
500.0000,-351.8466,383.9869,580.2986,686.9175,-467.3928,-371.1319
520.0000,-336.4418,391.2708,580.7105,705.4285,-456.9381,-357.0558
540.0000,-322.3392,401.5439,584.2974,699.2194,-467.8676,-369.7113
560.0000,-292.8784,427.8439,581.6921,735.8667,-460.3581,-351.5240
580.0000,-199.9270,496.9137,586.3400,787.9822,-374.2905,-268.2027
600.0000,-278.2854,433.1959,585.6401,728.3071,-439.9598,-355.1841
620.0000,-314.4903,401.3998,582.3423,698.3391,-461.8755,-397.7583
640.0000,-334.7572,393.7874,582.5814,679.7639,-497.7086,-439.6971
660.0000,-258.0036,455.9659,586.4109,740.9475,-442.0312,-370.0243
680.0000,-266.2264,451.3922,581.5872,759.0432,-447.2043,-364.3780
700.0000,-273.4100,460.3295,581.4150,718.6602,-468.4440,-422.6075
720.0000,-207.8409,488.7804,583.5079,779.5035,-416.0277,-335.8221
740.0000,-283.0231,428.9406,575.4655,720.4348,-461.6534,-408.7407
760.0000,-311.5891,406.1058,581.5021,719.5881,-479.8380,-443.6428
780.0000,-281.3244,437.7578,586.5392,725.2317,-472.9777,-426.0574
800.0000,-266.2057,448.4189,583.4213,716.8034,-492.6232,-453.4523
820.0000,-237.4737,476.4798,580.5888,743.1594,-463.1060,-426.2495
840.0000,-191.9204,513.6192,578.3943,734.0887,-422.5872,-391.2453
860.0000,-216.7799,489.0962,581.5865,782.8804,-429.1064,-412.4005
880.0000,-269.6609,449.7951,582.3273,695.9206,-479.5582,-495.1227
900.0000,-248.8825,471.0469,573.6742,711.9518,-474.0587,-478.4370
920.0000,-289.5384,421.0112,577.3041,668.9024,-555.6635,-557.1178
940.0000,-160.9219,540.0182,581.6671,749.0753,-444.0109,-445.4503
960.0000,-212.5033,488.0541,578.2729,740.8608,-459.7320,-472.1999
980.0000,-177.9238,471.8626,584.7247,734.1166,-462.9329,-462.4051
1000.0000,-267.7129,421.9574,589.2170,653.7545,-510.7726,-561.2146
1020.0000,-239.8985,501.9799,574.7314,700.4691,-483.6079,-571.2383
1040.0000,-162.7883,526.0288,587.2292,722.3671,-455.1662,-510.5165
1060.0000,-149.6286,536.9842,583.7701,739.6385,-436.3283,-479.0632
1080.0000,-202.9883,479.7369,582.1714,710.1546,-460.4768,-524.7557
1100.0000,-175.6150,491.2870,588.7722,709.0873,-463.9254,-522.9158
1120.0000,-201.1881,493.4986,583.1641,680.7225,-505.7976,-567.0056
1140.0000,-205.1927,475.4960,582.7899,694.4013,-497.5838,-557.5150
1160.0000,-152.5430,529.2390,583.1585,731.3172,-436.0492,-500.3041
1180.0000,-146.9141,509.7625,581.7852,729.8596,-446.0606,-494.0137
1200.0000,-153.8457,503.8901,585.1738,735.8679,-451.7162,-507.6978
1220.0000,-161.4491,522.2903,578.8118,701.2986,-460.8019,-525.7057
1240.0000,-180.2520,509.4705,579.1903,683.4130,-475.1407,-543.3027
1260.0000,-203.0452,470.6280,574.7717,662.9490,-494.1224,-563.2515
1280.0000,-167.8540,481.0477,581.2186,704.8290,-486.5652,-537.6539
1300.0000,-173.6000,482.0711,576.7684,705.3757,-472.6990,-537.6643
1320.0000,-123.3054,494.5955,578.2180,741.3123,-435.1064,-488.1123
1340.0000,-142.9561,487.5916,576.7421,735.9200,-458.0791,-516.2164
1360.0000,-138.7764,494.1213,579.2541,689.7092,-465.6364,-541.6772
1380.0000,-173.4378,477.0706,579.7343,646.6146,-507.4688,-582.7772
1400.0000,-142.3148,514.7426,579.2901,655.9514,-503.1999,-567.0598
1420.0000,-77.9478,569.5630,576.6736,696.1626,-454.0071,-511.3135
1440.0000,-51.8547,575.2780,575.2985,712.5461,-432.9132,-488.6904
1460.0000,-80.3615,537.0227,582.6251,672.7287,-468.4438,-521.7645
1480.0000,-86.4390,547.7165,582.3394,662.7864,-492.4916,-525.1852
1500.0000,-83.7001,546.4583,589.5806,641.2852,-491.9649,-553.4166
1520.0000,-66.0802,571.3309,581.4284,670.2281,-454.8687,-517.5363
