t,AF3,F7,F3,F4,F8,AF7
0,254.3979,-153.4902,74.3768,1075.3422,-738.3428,524.7724
20,260.7332,-141.5784,76.8761,1075.1544,-751.5031,521.6807
40,254.0899,-134.5814,85.6071,1080.0167,-747.3373,525.3939
60,253.5648,-137.9658,84.7524,1080.2206,-744.0717,524.5308
80,256.8511,-153.4053,87.3483,1084.813,-754.0924,521.4028
100,247.0169,-149.2728,66.9941,1077.2273,-765.485,518.8318
120,250.0576,-160.6605,90.8368,1079.4282,-735.8051,527.0497
140,248.7425,-144.1979,88.6237,1076.3622,-752.5222,516.4174
160,246.1685,-147.7044,89.0132,1065.2712,-734.4835,532.4423
180,240.7235,-146.9665,69.4925,1070.3954,-736.0847,522.0579
200,237.4512,-162.7796,72.1875,1064.7963,-723.843,525.5677
220,237.7448,-165.4895,98.8665,1079.1157,-732.0727,538.3427
240,235.7109,-153.8322,111.9608,1072.7701,-736.3147,520.4885
260,233.0276,-148.3231,113.4752,1056.3065,-714.0883,531.0923
280,220.5893,-157.6936,80.1253,1067.8564,-720.9811,524.5695
300,217.3607,-169.3673,63.2759,1053.4437,-719.9998,537.2165
320,213.8976,-180.2533,84.2553,1092.8618,-716.033,527.7949
340,215.0549,-171.6232,103.934,1069.7258,-720.132,524.6669
360,213.5481,-172.5323,103.2133,1079.6146,-715.0177,520.8559
380,206.8857,-182.8891,89.8871,1054.3979,-695.652,529.2452
400,211.9592,-156.963,82.7288,1061.2363,-717.4524,527.2545
420,206.1072,-167.1076,65.0883,1038.9923,-729.6889,532.1057
440,194.9796,-187.5435,70.1654,1054.0338,-700.499,534.5751
460,212.3875,-173.1358,78.8065,1074.0514,-716.471,533.6492
480,204.3157,-158.8206,78.9186,1054.5903,-719.6936,523.1187
500,207.9377,-149.754,68.8934,1045.6279,-737.2595,529.5665
520,207.6033,-149.7545,78.2877,1049.3656,-737.882,528.5223
540,198.7925,-163.0666,79.2684,1054.5586,-722.8836,534.1693
560,195.2818,-174.0175,90.0951,1074.0533,-726.2751,528.0955
580,190.9684,-167.9367,124.4957,1094.3026,-701.5166,528.2411
600,187.4181,-167.8635,95.9927,1067.4392,-711.9095,533.9866
620,183.2587,-162.9063,82.8129,1049.1033,-715.5157,533.7976
