TIME,AF3,F7,F3,F4,F8,AF4
1604235,-684,139,-33,747,-662,-1388
1604252,-747,90,-67,727,-698,-1452
1604268,-704,121,-32,729,-671,-1439
1604285,-628,180,-5,734,-604,-1358
1604301,-696,113,-37,720,-667,-1399
1604318,-685,122,1,716,-690,-1455
1604335,-614,184,-24,710,-656,-1321
1604351,-624,188,-24,708,-675,-1358
1604368,-629,237,-26,728,-663,-1352
1604386,-590,270,40,802,-645,-1328
1604416,-474,525,-742,-1058,-351,-1109
1604434,-565,442,-636,66,-416,-1204
1604450,-645,329,12,629,-584,-1297
1604467,-728,259,69,769,-709,-1295
1604483,-705,313,36,744,-653,-1259
1604501,-687,368,38,752,-732,-1216
1604516,-773,376,-4,750,-800,-1351
1604534,-708,408,21,712,-689,-1251
1604551,-754,361,3,726,-805,-1360
1604567,-769,352,-7,736,-772,-1395
1604584,-751,324,12,761,-735,-1310
1604601,-756,194,2,749,-731,-1388
1604617,-766,283,-4,734,-729,-1305
1604633,-784,555,-21,733,-722,-1346
1604650,-770,2221,17,724,-680,-1318
1604667,-769,1378,-6,718,-659,-1282
1604684,-821,3811,8,708,-649,-1284
1604700,-716,2471,26,701,-550,-1169
1604716,-803,2373,-6,709,-639,-1273
1604734,-792,1774,-21,702,-649,-1238
1604750,-808,1558,-23,706,-628,-1247
1604768,-748,1431,6,705,-614,-1214
1604784,-720,1310,5,701,-588,-1219
1604800,-757,1170,-22,703,-630,-1263
1604818,-666,1147,12,705,-567,-1246
1604833,-697,1114,-11,705,-569,-1280
1604851,-702,1034,-22,698,-562,-1326
1604881,-765,999,-5,697,-596,-1377
1604899,-708,959,-3,697,-563,-1478
1604915,-753,906,-17,697,-477,-1432
1604932,-715,869,-7,690,-432,-1456
1604950,-720,857,-3,701,-406,-1483
1604966,-752,806,-29,703,-393,-1481
1604984,-764,822,-27,709,-370,-1551
1605001,-759,807,-57,713,-393,-1559
1605017,-687,861,-11,711,-257,-1477
1605033,-733,799,-36,715,-308,-1554
1605051,-706,870,-51,701,-239,-1498
1605067,-752,866,-67,704,-232,-1552
1605084,-712,860,-91,701,-214,-1512
1605115,-721,901,-94,701,-164,-1493
1605132,-719,902,-101,701,-157,-1444
1605149,-717,900,-100,701,-126,-1437
