TIME,AF3,F7,F3,F4,F8,AF4
1674100,-33,595,367,30,-131,-707
1674118,8,599,390,22,-202,-789
1674135,27,656,364,3,-153,-754
1674151,55,657,365,10,-173,-724
1674168,-41,637,335,-26,-196,-787
1674200,27,663,347,-20,-188,-738
1674217,46,671,354,9,-117,-703
1674234,34,695,354,7,-131,-675
1674251,64,722,350,1,-173,-725
1674268,57,720,350,0,-200,-731
1674284,27,716,341,2,-206,-758
1674316,40,717,349,12,-206,-802
1674334,49,705,350,10,-227,-710
1674350,35,742,353,19,-217,-822
1674367,51,721,323,16,-168,-664
1674384,-1,679,325,13,-231,-815
1674400,-5,696,321,18,-212,-750
1674432,71,682,353,24,-203,-614
1674449,135,727,360,19,-286,-656
1674466,102,749,350,14,-322,-634
1674483,107,747,369,26,-364,-706
1674500,58,748,349,11,-396,-691
1674517,15,725,321,17,-434,-718
1674549,-55,686,322,22,-486,-739
1674566,-12,691,330,13,-452,-777
1674584,-76,674,312,15,-477,-754
1674600,-25,704,324,18,-454,-741
1674617,-85,688,301,19,-481,-775
1674634,-43,696,315,23,-452,-736
1674665,-89,703,317,14,-439,-734
1674682,-75,728,325,23,-430,-718
1674700,-62,701,319,21,-402,-635
1674717,-101,706,317,18,-474,-801
1674733,-55,716,319,22,-386,-599
1674749,-96,703,334,15,-421,-738
1674782,-151,692,280,19,-435,-693
1674799,-214,684,250,15,-395,-689
1674815,-97,726,280,36,-433,-656
1674833,-221,706,275,24,-461,-714
1674850,-167,722,277,19,-457,-677
1674866,-191,788,262,29,-437,-680
1674898,-201,777,236,12,-482,-702
1674916,-164,768,264,23,-361,-646
1674933,-197,771,252,15,-412,-622
1674949,-158,746,274,31,-402,-688
1674966,-187,730,274,22,-406,-671
1674982,-184,744,259,29,-379,-628
1675015,-184,748,234,44,-361,-652
1675033,-173,784,241,52,-336,-564
1675049,-133,763,229,47,-294,-593
1675066,-145,789,268,66,-286,-516
1675082,-243,748,237,59,-329,-605
1675099,-211,762,231,61,-320,-562
1675131,-219,719,253,95,-174,-479
1675148,-243,664,241,103,-181,-512
1675166,-273,608,255,112,-146,-563
1675182,-234,667,271,102,-49,-390
1675199,-227,660,334,107,-58,-435
1675216,-267,662,289,102,-99,-541
1675247,-218,738,324,115,-10,-412
1675264,-221,714,308,120,-5,-418
1675281,-265,694,299,135,-39,-443
1675298,-291,704,285,127,-18,-401
1675315,-203,753,312,117,45,-388
1675332,-128,761,337,125,-7,-403
1675349,-228,681,314,127,8,-424
1675365,-182,673,320,123,14,-385
1675382,-214,640,313,126,-14,-455
1675398,-199,664,356,123,65,-421
1675415,-213,648,337,138,61,-408
1675432,-199,657,319,135,21,-443
1675449,-213,661,344,160,21,-417
1675465,-194,656,345,139,10,-466
1675483,-183,626,342,144,-67,-385
1675499,-206,626,337,139,4,-524
1675516,-218,623,343,145,-59,-519
1675532,-198,607,328,141,31,-491
1675549,-252,633,323,125,-40,-524
1675565,-229,584,331,136,-37,-527
1675582,-135,681,356,146,-71,-456
1675599,-161,665,356,139,-94,-488
1675616,-169,693,338,144,-203,-462
1675633,-191,685,352,115,-130,-552
1675649,-178,687,349,145,-123,-489
1675665,-228,694,315,128,-110,-598
1675682,-253,647,321,133,-216,-550
1675700,-256,616,308,125,-223,-644
1675716,-257,653,324,135,-197,-569
1675732,-176,642,325,147,-196,-620
1675749,-220,666,308,143,-224,-590
1675766,-206,609,327,133,-234,-648
1675783,-187,689,290,131,-137,-579
1675798,-204,686,298,127,-198,-605
1675815,-239,670,325,127,-195,-563
1675833,-306,645,308,133,-226,-669
1675850,-236,674,273,116,-169,-554
1675866,-291,621,300,146,-264,-641
1675883,-314,663,278,130,-211,-601
1675899,-235,653,307,149,-213,-590
1675916,-295,655,321,131,-216,-564
1675932,-239,675,321,150,-218,-617
1675949,-241,681,340,151,-192,-572
1675966,-251,684,326,149,-233,-570
1675982,-229,698,333,151,-262,-613
1676000,-211,728,330,140,-271,-610
1676016,-244,723,343,142,-282,-624
1676032,-198,718,330,147,-237,-594
1676062,-250,720,322,152,-276,-610
1676079,-239,730,344,155,-258,-687
1676097,-226,721,313,153,-259,-622
1676114,-289,682,336,156,-303,-721
1676130,-209,720,356,154,-238,-616
1676146,-268,655,332,156,-316,-696
1676163,-252,719,347,161,-239,-662
1676180,-221,680,335,157,-294,-637
1676196,-250,707,336,159,-232,-639
1676213,-229,659,339,154,-329,-710
1676230,-278,718,355,155,-257,-665
1676247,-197,717,382,170,-249,-631
1676264,-186,743,376,157,-242,-634
1676281,-234,695,357,153,-263,-663
1676296,-200,720,388,158,-261,-624
1676313,-104,756,422,173,-221,-595
1676330,-150,703,418,171,-210,-545
1676347,-89,717,379,167,-156,-535
1676364,-97,677,376,168,-168,-559
1676379,-123,670,347,157,-164,-614
1676397,-125,665,345,162,-129,-564
1676414,-134,654,336,163,-182,-632
1676430,-175,641,333,167,-148,-648
1676447,-149,668,360,161,-147,-622
1676463,-167,616,321,152,-203,-720
1676480,-185,625,355,156,-234,-651
1676496,-227,651,347,163,-122,-663
1676513,-138,650,347,161,-166,-636
1676530,-155,648,387,170,-158,-669
1676547,-185,652,350,156,-146,-633
1676564,-146,661,384,153,-117,-656
1676580,-125,665,388,158,-169,-588
1676596,-173,653,366,142,-118,-674
1676613,-147,665,388,156,-131,-670
1676630,-184,651,372,150,-162,-647
1676647,-140,684,383,153,-107,-607
1676663,-185,678,381,147,-110,-651
1676680,-229,662,361,145,-123,-630
1676697,-192,661,355,147,-149,-691
1676714,-265,651,316,146,-127,-688
1676730,-238,661,234,133,-138,-688
1676761,-207,650,210,133,-143,-706
1676778,-155,662,233,139,-117,-673
1676795,-181,666,243,137,-86,-706
1676812,-168,674,244,142,-100,-671
1676828,-186,657,243,143,-100,-720
1676845,-161,661,256,147,-118,-778
1676862,-197,617,248,149,-155,-723
1676878,-162,641,252,143,-93,-748
1676894,-168,622,281,155,-70,-709
1676911,-178,657,272,139,-121,-814
1676928,-191,628,252,136,-98,-702
1676945,-232,607,259,144,-160,-806
1676961,-196,636,280,155,-107,-741
1676978,-199,630,278,153,-137,-807
1676994,-196,660,315,158,-98,-655
1677011,-224,585,295,158,-160,-797
1677028,-251,608,295,149,-131,-757
1677044,-223,609,305,148,-118,-716
1677062,-249,637,304,158,-134,-732
1677078,-235,612,315,159,-135,-728
1677095,-222,624,314,162,-117,-678
1677111,-242,592,301,166,-140,-719
1677128,-228,599,300,151,-137,-687
1677144,-179,632,323,172,-189,-742
1677162,-203,639,317,153,-131,-694
1677178,-218,599,292,154,-219,-749
1677195,-210,626,308,157,-182,-726
