PAT1,PAT2,PAT3,PAT4
-188.691,82.9141,-184.9579,263.6851
-157.8604,62.348,-184.011,265.3839
-160.5994,94.5277,-193.8424,268.7127
-207.0936,87.1299,-175.058,266.088
-233.403,70.672,-186.7584,264.3065
-248.9816,90.4785,-210.24,280.1175
-223.4591,93.4626,-213.6521,265.1316
-183.0702,92.4612,-218.3337,273.9983
-245.4707,85.9807,-215.5532,278.3046
-311.1737,87.4318,-214.4326,277.9447
-344.2303,83.8811,-201.3874,285.4688
-284.3634,88.6243,-205.6039,285.4753
-234.2728,95.9471,-218.2688,290.9657
-194.359,69.5341,-203.7471,291.8511
-327.0444,80.8505,-222.0771,291.4405
-389.5766,87.8417,-238.9387,304.1776
-346.9678,85.8013,-178.8784,309.6068
-272.4168,80.0361,-242.0619,309.6724
-226.9318,105.9214,-217.7847,311.5275
-303.522,96.2298,-218.2417,318.3488
-388.909,68.9102,-251.5976,312.5885
-411.5965,103.4744,-245.3966,321.9614
-343.8061,102.2108,-225.4379,317.2455
-286.5993,102.5928,-211.5731,325.6151
-215.7374,95.9177,-250.2805,328.0103
-251.6902,100.8672,-217.7078,328.8659
-308.8103,96.8083,-240.1371,332.4539
-304.7877,100.8331,-253.8419,326.8403
-293.8696,94.6144,-226.979,337.6086
-252.5989,106.9551,-209.0148,337.9867
-239.8609,120.7511,-201.8669,350.4429
-209.6109,100.8998,-244.1272,349.9532
-271.8311,105.0502,-205.6693,348.4095
-346.5898,102.2755,-248.2765,359.9061
-373.011,75.6136,-261.5771,346.3259
-330.6707,100.629,-215.369,345.327
-249.848,85.2615,-231.4342,358.8502
-298.6836,79.4355,-190.4701,371.7138
-370.136,79.5919,-221.3576,388.4088
-399.5231,78.5121,-217.573,396.8969
-404.2357,88.0466,-202.3137,402.0611
-334.3579,76.6133,-180.6695,393.8025
-303.1653,71.5514,-189.2275,394.2492
-317.2865,87.0857,-184.7754,387.621
-380.2547,84.5954,-190.0829,401.1064
-434.2235,86.6344,-201.7832,388.1419
-365.3741,85.4747,-189.104,391.4892
-269.0894,86.3681,-191.8481,396.4878
-295.334,96.8075,-199.0274,395.2141
-367.1457,95.3834,-179.902,397.444
-365.5249,85.8655,-209.9796,392.7039
-367.9872,90.564,-208.9486,400.2983
-312.5014,87.7521,-200.9787,387.1785
-256.8961,90.7875,-206.9765,388.2337
-279.6961,95.0227,-193.8993,385.7599
-322.7895,93.7324,-193.9998,369.7211
-332.6395,98.3787,-181.8804,361.9099
-273.7638,107.4194,-193.0182,358.1414
-187.6697,106.7571,-201.9097,360.5727
-201.7495,106.8462,-204.02,361.1741
-300.8245,90.0127,-192.8604,352.2747
-373.6589,101.5129,-189.994,345.4698
